Demand,Supply
6,4
6,4
8,2
6,4
4,6
2,8
2,8
2,8
2,8
2,8
2,8
2,8
2,8
4,6
8,2
10,0
10,0
10,0
8,2
8,2
6,4
6,4
8,2
10,0
10,0
10,0
10,0
10,0
6,4
6,4
10,0
10,0
10,0
10,0
10,0
6,4
8,2
8,2
10,0
10,0
10,0
10,0
10,0
10,0
8,2
10,0
10,0
8,2
6,4
6,4
6,4
4,6
4,6
2,8
2,8
2,8
2,8
2,8
2,8
4,6
2,8
2,8
2,8
4,6
8,2
10,0
10,0
10,0
6,4
8,2
8,2
8,2
8,2
6,4
8,2
10,0
10,0
6,4
6,4
8,2
8,2
8,2
10,0
10,0
10,0
10,0
10,0
8,2
6,4
6,4
8,2
10,0
10,0
10,0
10,0
10,0
10,0
8,2
8,2
8,2
8,2
8,2
8,2
8,2
10,0
10,0
8,2
8,2
8,2
8,2
8,2
8,2
4,6
6,4
6,4
8,2
8,2
8,2
10,0
10,0
10,0
10,0
10,0
6,4
8,2
10,0
10,0
10,0
6,4
6,4
6,4
6,4
6,4
8,2
10,0
10,0
10,0
10,0
10,0
10,0
8,2
8,2
8,2
6,4
6,4
6,4
2,8
2,8
2,8
2,8
0,10
0,10
2,8
2,8
2,8
2,8
2,8
2,8
2,8
2,8
6,4
6,4
8,2
8,2
6,4
4,6
6,4
6,4
10,0
10,0
8,2
8,2
8,2
8,2
8,2
8,2
8,2
10,0
10,0
10,0
10,0
10,0
10,0
10,0
8,2
6,4
10,0
10,0
10,0
8,2
8,2
4,6
4,6
4,6
8,2
10,0
10,0
10,0
4,6
4,6
2,8
0,10
0,10
0,10
2,8
0,10
4,6
4,6
10,0
10,0
8,2
10,0
10,0
10,0
6,4
6,4
10,0
10,0
10,0
6,4
6,4
8,2
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
6,4
10,0
10,0
10,0
6,4
6,4
6,4
8,2
8,2
6,4
2,8
2,8
2,8
10,0
10,0
10,0
10,0
2,8
2,8
2,8
2,8
2,8
2,8
4,6
8,2
8,2
8,2
6,4
10,0
10,0
10,0
10,0
8,2
6,4
6,4
6,4
6,4
6,4
6,4
10,0
10,0
10,0
10,0
10,0
8,2
8,2
8,2
8,2
6,4
6,4
8,2
6,4
6,4
8,2
6,4
6,4
8,2
8,2
6,4
6,4
2,8
2,8
2,8
2,8
2,8
4,6
6,4
4,6
4,6
2,8
2,8
4,6
4,6
4,6
4,6
2,8
2,8
2,8
4,6
4,6
6,4
6,4
8,2
6,4
8,2
8,2
10,0
10,0
10,0
10,0
10,0
10,0
8,2
10,0
10,0
8,2
8,2
8,2
8,2
10,0
