Demand,Supply
4,20
0,24
0,24
0,24
0,24
2,22
2,22
0,24
0,24
2,22
2,22
2,22
2,22
6,18
8,16
8,16
8,16
8,16
16,8
10,14
8,16
10,14
14,10
10,14
14,10
12,12
10,14
4,20
6,18
6,18
6,18
6,18
8,16
8,16
6,18
10,14
10,14
16,8
16,8
10,14
6,18
2,22
2,22
10,14
12,12
12,12
6,18
4,20
2,22
2,22
2,22
2,22
2,22
6,18
6,18
2,22
2,22
2,22
2,22
4,20
2,22
4,20
2,22
2,22
6,18
22,2
22,2
14,10
8,16
4,20
4,20
4,20
4,20
2,22
6,18
8,16
8,16
8,16
2,22
2,22
8,16
8,16
8,16
10,14
16,8
24,0
24,0
16,8
14,10
24,0
24,0
24,0
24,0
10,14
8,16
8,16
6,18
6,18
6,18
6,18
6,18
6,18
4,20
6,18
24,0
24,0
0,24
2,22
2,22
2,22
0,24
0,24
12,12
14,10
18,6
14,10
4,20
2,22
2,22
0,24
0,24
0,24
4,20
0,24
0,24
8,16
12,12
8,16
6,18
2,22
2,22
8,16
16,8
16,8
16,8
12,12
6,18
6,18
6,18
12,12
14,10
8,16
8,16
4,20
2,22
2,22
2,22
4,20
2,22
2,22
2,22
2,22
2,22
2,22
2,22
4,20
10,14
8,16
10,14
14,10
20,4
22,2
12,12
12,12
4,20
4,20
4,20
4,20
6,18
8,16
12,12
10,14
10,14
4,20
6,18
4,20
2,22
2,22
2,22
6,18
8,16
16,8
16,8
14,10
10,14
10,14
10,14
8,16
18,6
20,4
18,6
14,10
6,18
2,22
2,22
2,22
24,0
24,0
4,20
4,20
0,24
0,24
0,24
0,24
0,24
2,22
0,24
0,24
4,20
16,8
18,6
18,6
10,14
2,22
2,22
4,20
4,20
12,12
12,12
6,18
4,20
4,20
4,20
4,20
2,22
2,22
10,14
12,12
18,6
16,8
6,18
6,18
6,18
6,18
4,20
4,20
2,22
2,22
8,16
8,16
8,16
8,16
6,18
6,18
4,20
6,18
8,16
8,16
6,18
4,20
24,0
24,0
2,22
4,20
6,18
10,14
10,14
10,14
10,14
12,12
10,14
10,14
14,10
12,12
8,16
10,14
14,10
16,8
12,12
8,16
6,18
10,14
10,14
10,14
8,16
24,0
24,0
6,18
6,18
10,14
10,14
12,12
12,12
20,4
20,4
10,14
6,18
6,18
2,22
4,20
4,20
2,22
2,22
4,20
4,20
2,22
2,22
2,22
2,22
2,22
2,22
0,24
0,24
2,22
6,18
6,18
6,18
4,20
4,20
2,22
2,22
14,10
12,12
10,14
6,18
6,18
10,14
10,14
6,18
0,24
0,24
12,12
12,12
10,14
8,16
8,16
18,6
18,6
8,16
8,16
10,14
8,16
6,18
8,16
24,0
24,0
