Demand,Supply
14,18
12,20
10,22
10,22
10,22
8,24
8,24
10,22
10,22
8,24
6,26
6,26
8,24
12,20
8,24
12,20
12,20
18,14
14,18
12,20
8,24
6,26
8,24
8,24
12,20
14,18
12,20
14,18
10,22
10,22
8,24
4,28
8,24
8,24
12,20
10,22
10,22
10,22
6,26
8,24
12,20
12,20
16,16
16,16
20,12
18,14
10,22
4,28
4,28
4,28
2,30
2,30
2,30
6,26
6,26
8,24
6,26
4,28
4,28
2,30
2,30
2,30
2,30
8,24
8,24
12,20
10,22
8,24
10,22
10,22
0,32
2,30
6,26
6,26
8,24
8,24
6,26
8,24
6,26
4,28
6,26
6,26
6,26
10,22
14,18
10,22
16,16
8,24
10,22
12,20
14,18
18,14
20,12
16,16
16,16
16,16
4,28
4,28
6,26
4,28
2,30
2,30
2,30
2,30
2,30
2,30
4,28
6,26
6,26
6,26
8,24
10,22
6,26
8,24
12,20
14,18
10,22
10,22
10,22
8,24
8,24
8,24
8,24
10,22
10,22
10,22
10,22
10,22
4,28
6,26
8,24
8,24
14,18
16,16
14,18
10,22
10,22
8,24
8,24
14,18
14,18
12,20
10,22
8,24
6,26
6,26
2,30
2,30
4,28
8,24
8,24
8,24
10,22
10,22
2,30
2,30
4,28
4,28
4,28
6,26
6,26
14,18
14,18
14,18
8,24
10,22
8,24
6,26
10,22
8,24
8,24
6,26
6,26
8,24
8,24
8,24
8,24
8,24
8,24
4,28
4,28
8,24
10,22
12,20
8,24
8,24
8,24
10,22
12,20
16,16
16,16
16,16
10,22
8,24
8,24
8,24
6,26
4,28
4,28
4,28
6,26
6,26
6,26
6,26
6,26
4,28
6,26
6,26
8,24
10,22
12,20
10,22
10,22
8,24
10,22
8,24
8,24
6,26
8,24
6,26
8,24
8,24
10,22
4,28
4,28
8,24
6,26
8,24
6,26
12,20
10,22
10,22
10,22
12,20
10,22
8,24
14,18
20,12
18,14
16,16
14,18
12,20
8,24
6,26
8,24
6,26
6,26
6,26
8,24
8,24
8,24
6,26
6,26
6,26
6,26
8,24
14,18
12,20
12,20
14,18
10,22
10,22
8,24
8,24
8,24
8,24
10,22
10,22
14,18
12,20
14,18
12,20
10,22
8,24
12,20
16,16
12,20
12,20
14,18
12,20
8,24
8,24
12,20
8,24
10,22
10,22
8,24
6,26
6,26
6,26
6,26
6,26
6,26
8,24
8,24
8,24
4,28
4,28
4,28
4,28
4,28
4,28
6,26
6,26
6,26
10,22
10,22
10,22
12,20
14,18
14,18
12,20
12,20
12,20
10,22
12,20
10,22
10,22
8,24
16,16
26,6
22,10
16,16
18,14
10,22
10,22
12,20
12,20
10,22
10,22
8,24
10,22
14,18
14,18
14,18
12,20
