Demand,Supply
10,18
18,10
26,2
22,6
6,22
4,24
2,26
2,26
0,28
2,26
6,22
6,22
6,22
6,22
14,14
28,0
28,0
28,0
22,6
20,8
18,10
14,14
18,10
20,8
20,8
16,12
20,8
16,12
16,12
14,14
24,4
22,6
14,14
12,16
8,20
16,12
12,16
24,4
26,2
26,2
26,2
28,0
28,0
28,0
26,2
22,6
16,12
12,16
12,16
12,16
18,10
16,12
16,12
4,24
2,26
2,26
0,28
0,28
0,28
2,26
2,26
6,22
8,20
16,12
18,10
26,2
22,6
20,8
14,14
10,18
20,8
22,6
14,14
18,10
18,10
22,6
24,4
22,6
24,4
14,14
20,8
22,6
28,0
28,0
26,2
26,2
28,0
28,0
24,4
26,2
26,2
26,2
26,2
12,16
10,18
10,18
10,18
14,14
14,14
18,10
12,16
8,20
4,24
2,26
28,0
28,0
0,28
0,28
0,28
4,24
14,14
20,8
22,6
18,10
24,4
18,10
20,8
18,10
8,20
12,16
18,10
16,12
18,10
16,12
16,12
20,8
18,10
14,14
28,0
28,0
26,2
26,2
28,0
28,0
28,0
28,0
20,8
22,6
18,10
22,6
28,0
28,0
18,10
18,10
14,14
16,12
16,12
16,12
16,12
10,18
6,22
6,22
4,24
2,26
4,24
4,24
6,22
4,24
14,14
22,6
26,2
20,8
24,4
22,6
22,6
22,6
26,2
24,4
26,2
26,2
24,4
24,4
20,8
16,12
22,6
22,6
24,4
24,4
22,6
22,6
20,8
26,2
28,0
28,0
26,2
26,2
18,10
14,14
12,16
18,10
14,14
12,16
10,18
8,20
6,22
10,18
10,18
6,22
6,22
6,22
2,26
2,26
0,28
2,26
6,22
6,22
14,14
12,16
24,4
24,4
20,8
18,10
18,10
20,8
14,14
20,8
28,0
28,0
24,4
26,2
26,2
22,6
22,6
22,6
26,2
18,10
28,0
28,0
28,0
28,0
26,2
28,0
28,0
28,0
28,0
28,0
22,6
18,10
18,10
16,12
12,16
12,16
14,14
16,12
10,18
8,20
8,20
10,18
6,22
28,0
28,0
28,0
28,0
8,20
6,22
12,16
20,8
22,6
22,6
20,8
22,6
22,6
24,4
18,10
22,6
26,2
24,4
28,0
28,0
26,2
24,4
24,4
24,4
24,4
24,4
26,2
28,0
28,0
18,10
22,6
24,4
18,10
16,12
18,10
20,8
18,10
14,14
12,16
10,18
14,14
16,12
14,14
8,20
6,22
6,22
4,24
2,26
2,26
2,26
2,26
2,26
10,18
8,20
12,16
18,10
6,22
16,12
16,12
22,6
28,0
28,0
24,4
18,10
14,14
20,8
22,6
24,4
24,4
24,4
12,16
12,16
20,8
20,8
20,8
20,8
26,2
26,2
28,0
28,0
28,0
24,4
16,12
18,10
16,12
28,0
28,0
