Demand,Supply
14,42
14,42
16,40
14,42
12,44
12,44
8,48
8,48
8,48
8,48
8,48
10,46
12,44
14,42
14,42
38,18
44,12
44,12
28,28
28,28
28,28
26,30
18,38
20,36
32,24
34,22
36,20
32,24
36,20
34,22
34,22
30,26
22,34
34,22
32,24
42,14
42,14
50,6
54,2
54,2
50,6
40,16
34,22
26,30
20,36
20,36
22,34
28,28
28,28
28,28
18,38
12,44
12,44
2,54
2,54
0,56
0,56
0,56
0,56
0,56
0,56
0,56
8,48
22,34
30,26
40,16
36,20
26,30
20,36
12,44
14,42
10,46
16,40
16,40
20,36
14,42
22,34
22,34
22,34
26,30
20,36
32,24
32,24
30,26
30,26
42,14
48,8
42,14
44,12
40,16
40,16
36,20
36,20
32,24
32,24
32,24
14,42
14,42
14,42
14,42
10,46
8,48
8,48
6,50
56,0
56,0
6,50
8,48
8,48
6,50
12,44
18,38
38,18
46,10
34,22
26,30
20,36
22,34
20,36
22,34
28,28
30,26
30,26
18,38
18,38
16,40
24,32
16,40
32,24
38,18
36,20
46,10
46,10
40,16
36,20
34,22
44,12
42,14
44,12
48,8
42,14
38,18
38,18
40,16
42,14
40,16
24,32
22,34
14,42
10,46
8,48
8,48
10,46
8,48
8,48
8,48
12,44
16,40
14,42
28,28
40,16
44,12
26,30
26,30
26,30
28,28
34,22
36,20
36,20
32,24
24,32
24,32
20,36
26,30
28,28
26,30
28,28
28,28
32,24
32,24
48,8
46,10
46,10
46,10
46,10
48,8
48,8
44,12
32,24
32,24
24,32
22,34
22,34
14,42
14,42
14,42
56,0
56,0
8,48
8,48
6,50
8,48
8,48
8,48
6,50
8,48
12,44
26,30
34,22
34,22
30,26
26,30
18,38
20,36
24,32
36,20
56,0
56,0
34,22
32,24
32,24
28,28
22,34
34,22
30,26
28,28
24,32
34,22
42,14
50,6
46,10
44,12
44,12
42,14
42,14
42,14
54,2
54,2
40,16
28,28
26,30
20,36
18,38
14,42
14,42
12,44
8,48
8,48
8,48
56,0
56,0
56,0
56,0
16,40
14,42
22,34
24,32
26,30
26,30
26,30
24,32
24,32
26,30
28,28
38,18
38,18
36,20
36,20
34,22
42,14
42,14
42,14
36,20
36,20
36,20
56,0
56,0
56,0
32,24
30,26
28,28
26,30
28,28
34,22
32,24
26,30
24,32
22,34
16,40
16,40
12,44
10,46
10,46
10,46
10,46
8,48
10,46
10,46
10,46
12,44
12,44
14,42
20,36
18,38
24,32
28,28
34,22
30,26
20,36
20,36
20,36
28,28
36,20
38,18
42,14
36,20
36,20
40,16
38,18
34,22
34,22
30,26
30,26
32,24
32,24
38,18
40,16
40,16
42,14
42,14
32,24
30,26
30,26
26,30
56,0
56,0
