Demand,Supply
12,18
16,14
18,12
12,18
14,16
12,18
8,22
6,24
6,24
6,24
6,24
6,24
6,24
6,24
8,22
8,22
18,12
18,12
18,12
20,10
20,10
18,12
18,12
20,10
24,6
20,10
18,12
14,16
20,10
16,14
14,16
16,14
16,14
16,14
12,18
14,16
18,12
22,8
22,8
22,8
28,2
28,2
12,18
10,20
8,22
14,16
16,14
14,16
30,0
30,0
10,20
6,24
6,24
2,28
2,28
2,28
0,30
2,28
2,28
2,28
2,28
2,28
2,28
2,28
8,22
18,12
12,18
6,24
10,20
8,22
8,22
6,24
8,22
18,12
20,10
22,8
24,6
20,10
18,12
12,18
18,12
24,6
28,2
26,4
26,4
28,2
26,4
24,6
16,14
20,10
20,10
22,8
22,8
22,8
26,4
26,4
18,12
14,16
16,14
12,18
8,22
4,26
4,26
2,28
30,0
30,0
2,28
2,28
4,26
6,24
12,18
12,18
14,16
16,14
12,18
12,18
12,18
12,18
8,22
14,16
20,10
16,14
16,14
6,24
8,22
8,22
10,20
10,20
20,10
20,10
14,16
20,10
18,12
26,4
24,6
20,10
22,8
18,12
18,12
18,12
18,12
16,14
20,10
26,4
22,8
22,8
18,12
16,14
6,24
4,26
2,28
2,28
2,28
2,28
4,26
10,20
10,20
10,20
14,16
14,16
20,10
16,14
14,16
14,16
4,26
6,24
16,14
22,8
20,10
14,16
18,12
20,10
24,6
22,8
20,10
22,8
28,2
28,2
26,4
22,8
24,6
28,2
28,2
26,4
20,10
16,14
16,14
26,4
20,10
20,10
20,10
22,8
22,8
14,16
16,14
18,12
30,0
30,0
14,16
14,16
6,24
6,24
8,22
8,22
6,24
8,22
10,20
14,16
16,14
18,12
8,22
10,20
16,14
16,14
20,10
20,10
20,10
24,6
22,8
26,4
28,2
24,6
24,6
14,16
16,14
18,12
14,16
28,2
28,2
28,2
22,8
28,2
28,2
22,8
20,10
20,10
18,12
18,12
20,10
18,12
18,12
16,14
12,18
6,24
6,24
6,24
6,24
6,24
4,26
30,0
30,0
30,0
30,0
4,26
4,26
4,26
8,22
10,20
12,18
18,12
14,16
14,16
18,12
18,12
20,10
14,16
18,12
22,8
12,18
14,16
16,14
12,18
12,18
12,18
14,16
12,18
30,0
30,0
16,14
14,16
18,12
18,12
18,12
14,16
10,20
12,18
12,18
12,18
18,12
14,16
14,16
12,18
10,20
10,20
10,20
10,20
10,20
10,20
10,20
8,22
8,22
10,20
8,22
8,22
10,20
12,18
16,14
16,14
16,14
26,4
18,12
12,18
14,16
18,12
16,14
20,10
20,10
26,4
28,2
28,2
20,10
22,8
14,16
10,20
10,20
16,14
18,12
18,12
22,8
22,8
18,12
26,4
18,12
18,12
24,6
30,0
