Demand,Supply
4,10
4,10
6,8
6,8
6,8
6,8
6,8
6,8
4,10
2,12
2,12
2,12
2,12
2,12
2,12
10,4
12,2
12,2
8,6
6,8
8,6
8,6
6,8
8,6
8,6
4,10
2,12
4,10
8,6
10,4
10,4
10,4
10,4
8,6
8,6
8,6
4,10
8,6
6,8
14,0
14,0
14,0
14,0
12,2
8,6
8,6
10,4
10,4
14,0
14,0
12,2
8,6
8,6
6,8
6,8
6,8
4,10
4,10
6,8
4,10
4,10
4,10
6,8
8,6
8,6
8,6
6,8
4,10
2,12
2,12
2,12
4,10
6,8
8,6
4,10
2,12
4,10
4,10
6,8
6,8
10,4
10,4
8,6
12,2
10,4
12,2
12,2
10,4
10,4
10,4
10,4
10,4
10,4
10,4
8,6
8,6
10,4
6,8
6,8
6,8
4,10
4,10
4,10
4,10
14,0
14,0
4,10
4,10
4,10
4,10
6,8
12,2
12,2
10,4
10,4
10,4
10,4
6,8
6,8
8,6
10,4
12,2
12,2
6,8
6,8
12,2
12,2
12,2
10,4
8,6
8,6
10,4
12,2
14,0
14,0
14,0
14,0
12,2
14,0
14,0
8,6
6,8
6,8
6,8
6,8
6,8
10,4
12,2
4,10
4,10
6,8
6,8
6,8
4,10
4,10
4,10
6,8
6,8
10,4
14,0
14,0
12,2
10,4
10,4
12,2
12,2
8,6
8,6
6,8
8,6
4,10
6,8
6,8
6,8
10,4
10,4
10,4
10,4
12,2
12,2
12,2
10,4
10,4
12,2
14,0
14,0
14,0
12,2
12,2
12,2
12,2
12,2
12,2
12,2
12,2
12,2
14,0
14,0
8,6
8,6
6,8
6,8
6,8
6,8
8,6
8,6
6,8
8,6
14,0
14,0
8,6
8,6
8,6
8,6
6,8
8,6
8,6
8,6
14,0
14,0
10,4
8,6
8,6
6,8
4,10
8,6
6,8
8,6
2,12
4,10
6,8
6,8
6,8
0,14
0,14
0,14
6,8
6,8
2,12
4,10
4,10
4,10
4,10
0,14
0,14
2,12
2,12
2,12
2,12
0,14
14,0
14,0
14,0
2,12
2,12
8,6
4,10
4,10
4,10
0,14
2,12
2,12
2,12
4,10
8,6
10,4
10,4
6,8
4,10
0,14
2,12
2,12
4,10
4,10
6,8
6,8
14,0
14,0
6,8
6,8
4,10
4,10
4,10
4,10
6,8
4,10
12,2
10,4
10,4
6,8
8,6
6,8
4,10
2,12
2,12
2,12
2,12
14,0
14,0
2,12
2,12
4,10
4,10
4,10
4,10
6,8
6,8
2,12
6,8
2,12
2,12
2,12
4,10
4,10
8,6
10,4
10,4
8,6
6,8
6,8
4,10
4,10
8,6
8,6
8,6
8,6
6,8
6,8
8,6
8,6
6,8
6,8
6,8
6,8
14,0
14,0
