Demand,Supply
0,20
0,24
0,24
0,24
0,24
2,22
0,22
0,24
0,24
2,22
0,22
0,22
2,22
2,18
2,16
0,16
4,16
0,16
6,8
0,14
0,16
6,14
2,10
0,14
4,10
0,12
0,14
2,20
0,18
0,18
0,18
0,18
2,16
0,16
2,18
8,14
0,14
6,8
0,8
0,14
2,18
0,22
0,22
10,14
0,12
0,12
0,18
0,20
0,22
0,22
0,22
0,22
0,22
4,18
0,18
0,22
0,22
0,22
0,22
2,20
0,22
2,20
0,22
2,22
2,18
16,2
2,2
0,10
0,16
0,20
0,20
2,20
0,20
2,22
6,18
2,16
0,16
0,16
0,22
0,22
6,16
0,16
0,16
8,14
8,8
0,0
0,0
2,8
0,10
10,0
0,0
0,0
0,0
0,14
0,16
0,16
0,18
0,18
0,18
0,18
2,18
2,18
0,20
2,18
0,0
0,0
0,24
4,22
2,22
0,22
2,24
0,24
12,12
8,10
0,6
0,10
0,20
0,22
0,22
0,24
0,24
2,24
2,20
0,24
0,24
12,16
0,12
0,16
0,18
0,22
0,22
10,16
4,8
2,8
0,8
0,12
0,18
0,18
6,18
0,12
2,10
0,16
0,16
0,20
0,22
0,22
2,22
0,20
0,22
0,22
0,22
0,22
0,22
0,22
0,22
4,20
4,14
0,16
2,14
8,10
4,4
2,2
0,12
0,12
0,20
0,20
2,20
0,20
2,18
6,16
2,12
0,14
0,14
0,20
2,18
0,20
0,22
0,22
0,22
4,18
6,16
4,8
0,8
2,10
0,14
0,14
0,14
2,16
12,6
0,4
0,6
0,10
0,18
0,22
0,22
0,22
0,0
0,0
2,20
0,20
0,24
0,24
0,24
0,24
2,24
0,22
0,24
2,24
4,20
12,8
6,6
0,6
0,14
0,22
0,22
6,20
0,20
4,12
0,12
0,18
0,20
2,20
0,20
0,20
0,22
0,22
8,14
2,12
6,6
0,8
0,18
2,18
0,18
0,18
2,20
0,20
2,22
0,22
4,16
2,16
0,16
0,16
0,18
0,18
0,20
4,18
0,16
0,16
0,18
0,20
0,0
0,0
0,22
2,20
2,18
6,14
0,14
2,14
0,14
0,12
0,14
4,14
0,10
0,12
0,16
2,14
4,10
2,8
2,12
0,16
4,18
4,14
0,14
0,14
0,16
0,0
0,0
0,18
0,18
4,14
2,14
4,12
2,12
10,4
0,4
2,14
0,18
0,18
0,22
2,20
0,20
0,22
0,22
2,20
0,20
0,22
0,22
0,22
0,22
0,22
0,22
0,24
0,24
8,22
0,18
2,18
2,18
0,20
0,20
4,22
0,22
8,10
0,12
0,14
0,18
0,18
4,14
0,14
0,18
0,24
0,24
14,12
0,12
0,14
0,16
0,16
12,6
0,6
0,16
0,16
2,14
0,16
0,18
4,16
0,0
0,0
