Demand,Supply
0,18
0,20
2,22
0,22
0,22
0,24
0,24
2,22
0,22
0,24
0,26
0,26
2,24
4,20
0,24
4,20
4,20
4,14
0,18
2,20
0,24
2,26
0,24
0,24
4,20
2,18
0,20
2,18
0,22
2,22
0,24
0,28
4,24
2,24
4,20
0,22
0,22
22,22
0,26
2,24
4,20
2,20
4,16
0,16
4,12
0,14
0,22
0,28
0,28
0,28
0,30
0,30
0,30
8,26
0,26
0,24
0,26
0,28
0,28
0,30
0,30
0,30
0,30
6,24
0,24
4,20
0,22
2,24
0,22
0,22
0,32
4,30
2,26
2,26
0,24
0,24
0,26
2,24
0,26
2,28
2,26
0,26
0,26
8,22
0,18
0,22
6,16
0,24
4,22
0,20
2,18
6,14
0,12
0,16
2,16
0,16
0,28
0,28
2,26
0,28
0,30
0,30
0,30
0,30
0,30
0,30
2,28
2,26
0,26
0,26
4,24
0,22
0,26
6,24
2,20
0,18
0,22
0,22
0,22
0,24
0,24
2,24
2,24
2,22
0,22
4,22
0,22
0,22
4,28
2,26
0,24
4,24
6,18
2,16
0,18
0,22
0,22
0,24
4,24
4,18
0,18
0,20
0,22
0,24
0,26
0,26
0,30
2,30
2,28
2,24
0,24
0,24
2,22
0,22
0,30
2,30
0,28
0,28
0,28
2,26
4,26
4,18
0,18
0,18
0,24
2,22
0,24
2,26
2,22
0,24
2,24
0,26
2,26
2,24
0,24
0,24
0,24
0,24
0,24
0,28
4,28
0,24
2,22
2,20
0,24
0,24
0,24
2,22
6,20
0,16
0,16
0,16
0,22
0,24
0,24
0,24
0,26
0,28
0,28
2,28
0,26
0,26
0,26
0,26
0,26
0,28
2,26
2,26
0,24
4,22
0,20
0,22
0,22
0,24
2,22
0,24
0,24
2,26
0,24
0,26
2,24
2,24
0,22
0,28
4,28
2,24
2,26
0,24
2,26
4,20
0,22
0,22
0,22
2,20
2,22
2,24
6,18
4,12
0,14
2,16
0,18
0,20
0,24
0,26
2,24
0,26
0,26
2,26
0,24
0,24
0,24
0,26
0,26
0,26
2,26
2,24
4,18
0,20
0,20
2,18
0,22
0,22
0,24
0,24
0,24
0,24
2,22
4,22
0,18
4,20
0,18
0,20
0,22
4,24
2,20
2,16
0,20
2,20
0,18
0,20
0,24
4,24
0,20
0,24
4,22
0,22
0,24
0,26
0,26
0,26
2,26
0,26
0,26
2,24
0,24
0,24
0,28
0,28
0,28
0,28
0,28
0,28
2,26
0,26
4,26
0,22
0,22
4,22
4,20
0,18
0,18
0,20
0,20
2,20
2,22
2,20
0,22
2,22
2,24
10,16
6,6
0,10
0,16
2,14
0,22
2,22
0,20
0,20
2,22
0,22
2,24
2,22
4,18
0,18
0,18
0,20
