Demand,Supply
6,18
6,10
6,2
0,6
0,22
0,24
0,26
0,26
0,28
6,26
0,22
0,22
0,22
8,22
10,14
4,0
0,0
0,0
0,6
2,8
0,10
2,14
4,10
2,8
8,8
0,12
4,8
2,12
0,12
8,14
2,4
0,6
0,14
2,16
2,20
6,12
0,16
12,4
4,2
2,2
0,2
2,0
0,0
0,0
0,2
0,6
2,12
0,16
0,16
0,16
6,10
0,12
0,12
0,24
0,26
0,26
0,28
0,28
0,28
2,26
2,26
2,22
4,20
8,12
0,10
8,2
0,6
2,8
0,14
0,18
10,8
2,6
10,14
2,10
4,10
2,6
0,4
6,6
0,4
0,14
10,8
6,6
0,0
2,0
0,2
0,2
2,0
0,0
4,4
0,2
0,2
0,2
0,2
0,16
0,18
0,18
6,18
4,14
0,14
6,10
0,16
0,20
0,24
2,26
0,0
0,0
0,28
0,28
2,28
10,24
4,14
6,8
8,6
0,10
6,4
0,10
2,8
0,10
2,20
4,16
8,10
8,12
0,10
2,12
0,12
8,8
0,10
0,14
14,0
0,0
2,2
0,2
2,0
0,0
0,0
0,0
0,8
4,6
4,10
0,6
6,0
0,0
0,10
0,10
0,14
2,12
4,12
0,12
0,12
2,18
0,22
0,22
0,24
2,26
0,24
4,24
0,22
6,24
4,14
14,6
2,2
0,8
6,4
4,6
0,6
6,6
0,2
2,4
0,2
2,2
2,4
0,4
0,8
2,12
4,6
2,6
0,4
0,4
0,6
0,6
4,8
2,2
0,0
2,0
0,2
2,2
0,10
0,14
2,16
4,10
0,14
0,16
0,18
0,20
0,22
4,18
0,18
0,22
0,22
0,22
0,26
0,26
0,28
4,26
4,22
8,22
0,14
10,16
6,4
0,4
0,8
0,10
4,10
0,8
0,14
6,8
0,0
0,0
8,4
2,2
0,2
2,6
0,6
2,6
6,2
0,10
10,0
0,0
0,0
0,0
0,2
2,0
0,0
0,0
0,0
0,0
0,6
0,10
0,10
2,12
0,16
4,16
0,14
2,12
2,18
0,20
4,20
2,18
0,22
0,0
0,0
0,0
0,0
2,20
0,22
8,16
8,8
6,6
0,6
0,8
4,6
4,6
0,4
2,10
2,6
4,2
4,4
0,0
0,0
2,2
4,4
4,4
0,4
4,4
0,4
0,2
0,0
0,0
4,10
0,6
6,4
2,10
4,12
6,10
4,8
0,10
0,14
0,16
0,18
4,14
4,12
2,14
0,20
0,22
0,22
0,24
0,26
0,26
0,26
0,26
0,26
8,18
2,20
4,16
4,10
2,22
8,12
6,12
4,6
4,0
0,0
0,4
0,10
2,14
12,8
0,6
2,4
4,4
0,4
0,16
0,16
14,8
0,8
2,8
0,8
4,2
0,2
2,0
0,0
0,0
0,4
0,12
6,10
2,12
0,0
0,0
