Demand,Supply
2,42
0,42
2,40
0,42
0,44
0,44
0,48
0,48
0,48
0,48
0,48
2,46
2,44
2,42
10,42
14,18
6,12
0,12
8,28
0,28
0,28
2,30
0,38
2,36
12,24
8,22
0,20
4,24
0,20
0,22
0,22
0,26
0,34
14,22
6,24
6,14
4,14
8,6
6,2
0,2
0,6
0,16
0,22
2,30
2,36
0,36
4,34
4,28
0,28
0,28
0,38
0,44
0,44
0,54
0,54
0,56
0,56
0,56
0,56
0,56
4,56
0,56
6,48
14,34
6,26
10,16
0,20
0,30
0,36
0,44
2,42
2,46
6,40
2,40
2,36
6,42
8,34
0,34
2,34
4,30
0,36
14,24
0,24
2,26
6,26
6,14
6,8
0,14
2,12
0,16
0,16
0,20
0,20
4,24
0,24
0,24
0,42
2,42
0,42
0,42
0,46
0,48
0,48
0,50
0,0
0,0
0,50
2,48
0,48
4,50
2,44
6,38
30,18
0,10
0,22
2,30
2,36
2,34
0,36
2,34
12,28
4,26
0,26
0,38
0,38
6,40
6,32
4,40
12,24
6,18
2,20
14,10
0,10
0,16
0,20
0,22
10,12
6,14
2,12
4,8
0,14
2,18
0,18
2,16
4,14
0,16
0,32
0,34
0,42
2,46
0,48
0,48
2,46
0,48
0,48
4,48
4,44
0,40
4,42
14,28
8,16
4,12
0,30
0,30
4,30
2,28
8,22
10,20
0,20
6,24
0,32
0,32
0,36
12,30
0,28
0,30
2,28
0,28
4,24
0,24
16,8
2,10
0,10
0,10
2,10
6,8
0,8
4,12
0,24
0,24
0,32
0,34
0,34
0,42
0,42
0,42
0,0
0,0
0,48
0,48
0,50
2,48
0,48
0,48
2,50
2,48
4,44
20,30
2,22
0,22
2,26
0,30
0,38
2,36
4,32
14,20
0,0
0,0
4,22
0,24
2,24
0,28
0,34
22,22
0,26
0,28
0,32
10,22
12,14
8,6
0,10
0,12
0,12
0,14
6,14
0,14
8,2
0,2
0,16
0,28
0,30
0,36
0,38
0,42
2,42
0,44
0,48
0,48
0,48
0,0
0,0
0,0
0,0
8,40
0,42
8,34
4,32
6,30
0,30
4,30
4,32
2,32
4,30
4,28
6,18
0,18
2,20
4,20
8,22
4,14
2,14
8,14
2,20
0,20
2,20
0,0
0,0
0,0
0,24
0,26
0,28
0,30
12,28
2,22
4,24
2,30
0,32
0,34
0,40
2,40
0,44
0,46
0,46
0,46
0,46
0,48
2,46
0,46
0,46
2,44
0,44
6,42
2,36
4,38
2,32
8,28
8,22
2,26
0,36
2,36
0,36
6,28
8,20
2,18
8,14
2,20
0,20
8,16
6,18
0,22
0,22
0,26
0,26
10,24
0,24
4,18
4,16
0,16
6,14
0,14
0,24
12,26
0,26
2,30
0,0
0,0
