Demand,Supply
4,18
2,14
0,12
0,18
2,16
0,18
0,22
0,24
0,24
0,24
0,24
0,24
0,24
0,24
4,22
0,22
8,12
0,12
0,12
4,10
0,10
6,12
0,12
6,10
0,6
0,10
0,12
0,16
6,10
0,14
0,16
2,14
0,14
0,14
2,18
4,16
0,12
4,8
0,8
8,8
2,2
0,2
0,18
4,20
2,22
4,16
2,14
0,16
0,0
0,0
0,20
0,24
0,24
0,28
0,28
0,28
0,30
2,28
0,28
0,28
0,28
0,28
4,28
6,28
0,22
10,12
0,18
4,24
0,20
0,22
0,22
0,24
8,22
6,12
2,10
0,8
6,6
0,10
0,12
0,18
6,12
6,6
4,2
0,4
2,4
0,2
0,4
0,6
2,14
2,10
0,10
2,8
0,8
4,8
2,4
0,4
0,12
0,16
2,14
0,18
0,22
0,26
0,26
0,28
0,0
0,0
0,28
0,28
2,26
2,24
6,18
0,18
12,16
0,14
0,18
2,18
4,18
0,18
4,22
2,16
8,10
4,14
0,14
0,24
2,22
2,22
2,20
0,20
10,10
0,10
4,16
2,10
2,12
6,4
0,6
0,10
2,8
2,12
4,12
0,12
0,12
4,14
2,10
4,4
0,8
0,8
0,12
0,14
0,24
0,26
0,28
0,28
0,28
0,28
6,26
2,20
0,20
0,20
4,16
4,16
2,10
0,14
2,16
0,16
0,26
6,24
6,14
6,8
0,10
2,16
6,12
2,10
2,6
0,8
2,10
2,8
4,2
0,2
0,4
0,8
6,6
0,2
0,2
0,4
0,10
4,14
0,14
10,4
2,10
0,10
0,10
2,8
0,8
4,16
0,14
2,12
0,0
0,0
0,16
0,16
0,24
0,24
2,22
0,22
0,24
4,22
2,20
2,16
2,14
2,12
0,22
2,20
10,14
0,14
0,10
0,10
0,10
4,6
8,8
2,4
0,2
0,6
0,6
2,16
0,14
2,12
6,16
8,2
2,2
0,2
0,8
6,2
0,2
0,8
2,10
0,10
0,12
0,12
2,10
0,12
4,12
0,14
0,18
0,24
0,24
0,24
0,24
0,24
2,26
0,0
0,0
0,0
0,0
0,26
0,26
0,26
6,22
2,20
0,18
8,12
4,16
0,16
4,12
2,12
0,10
0,16
4,12
6,8
0,18
6,16
4,14
2,18
0,18
4,18
0,16
0,18
0,0
0,0
6,14
0,16
6,12
0,12
0,12
0,16
2,20
0,18
0,18
0,18
6,12
0,16
0,16
0,18
0,20
0,20
2,20
0,20
0,20
0,20
0,20
0,22
0,22
2,20
0,22
2,22
0,20
2,18
8,14
4,14
0,14
8,4
0,12
0,18
10,16
0,12
0,14
6,10
0,10
6,4
2,2
0,2
0,10
2,8
0,16
0,20
0,20
6,14
4,12
0,12
4,8
0,8
0,12
8,4
0,12
0,12
6,6
0,0
