Demand,Supply
0,20
2,18
0,20
0,20
0,20
0,20
0,22
0,22
0,22
0,22
0,22
0,22
2,20
0,20
2,22
4,16
16,10
0,10
0,10
2,10
0,16
0,18
0,18
2,16
0,16
0,18
0,20
0,22
0,22
2,24
2,20
0,20
6,14
0,14
4,16
2,12
2,8
0,8
0,10
2,8
4,6
0,8
0,8
0,8
4,4
0,6
0,12
0,14
0,16
0,16
0,20
0,20
0,20
0,20
0,20
0,20
2,18
0,18
0,18
0,18
2,16
0,16
4,20
16,4
0,0
0,0
0,4
0,8
0,12
0,20
0,20
2,20
0,18
2,18
4,16
0,14
0,16
0,16
2,22
2,18
2,16
2,20
0,20
14,8
0,6
0,10
0,10
0,12
0,20
10,10
0,14
0,16
0,16
2,22
2,22
0,22
0,22
0,24
0,24
0,24
0,24
0,24
0,24
0,24
0,0
0,0
0,24
0,24
0,24
2,24
2,20
10,10
2,12
6,14
4,6
0,12
0,16
4,20
2,16
2,12
0,18
20,40
0,40
4,24
0,24
0,24
6,28
2,20
2,20
0,22
6,18
6,12
2,12
0,18
4,14
2,16
0,18
4,20
2,18
0,0
0,0
0,24
2,22
0,22
2,22
0,22
0,26
0,26
0,28
2,28
0,28
0,28
0,28
0,28
0,28
0,28
2,28
0,26
6,20
10,12
0,12
0,12
4,12
2,8
0,14
0,18
0,20
2,20
0,20
2,20
0,20
2,24
0,24
4,20
4,16
0,18
2,16
0,16
0,20
2,18
6,16
0,16
0,16
0,16
2,14
0,14
4,10
2,8
0,12
4,8
0,8
0,18
0,22
0,22
0,22
0,24
0,0
0,0
0,26
0,26
0,26
0,26
0,26
0,26
0,26
0,26
2,24
10,18
2,14
4,10
10,4
0,4
0,8
0,10
0,20
0,20
0,20
0,24
0,24
2,22
0,24
2,22
2,20
0,22
0,22
6,16
2,16
0,16
2,18
6,10
2,8
0,10
0,10
2,8
0,14
0,14
0,18
0,18
0,22
0,22
4,24
0,20
0,20
0,20
0,24
0,26
2,26
0,26
0,26
0,0
0,0
0,0
0,0
4,22
10,12
0,14
0,20
0,22
0,22
0,22
4,22
0,22
0,22
4,20
2,16
2,14
0,16
2,18
0,22
0,22
0,22
2,20
0,20
2,18
6,20
0,0
0,0
0,0
0,18
0,18
8,10
4,10
0,10
0,12
0,18
0,20
4,16
0,16
0,20
0,22
0,22
0,24
0,24
0,24
0,26
0,26
0,26
0,26
0,26
6,20
0,20
0,20
0,20
2,20
4,16
0,16
0,16
2,16
0,16
0,14
0,14
0,14
0,18
2,16
4,14
0,12
0,12
0,18
2,18
0,24
0,24
0,24
0,24
6,20
0,20
2,18
4,18
2,16
2,16
0,16
6,10
0,12
0,12
0,14
0,22
0,0
