Demand,Supply
0,8
4,6
0,6
0,8
0,8
0,10
0,10
0,0
0,0
0,14
0,14
0,0
0,0
0,16
0,16
0,16
4,12
0,12
0,14
0,14
0,14
0,14
0,14
12,6
2,2
0,2
0,2
0,6
2,14
4,8
2,6
2,6
0,6
2,6
0,6
0,8
2,14
0,12
2,12
0,16
0,16
6,10
2,8
4,4
0,8
4,6
0,0
6,0
0,2
0,2
0,4
2,8
0,6
0,6
0,6
0,6
0,8
0,8
0,8
2,8
0,8
4,2
0,8
2,6
0,8
0,14
0,16
0,18
0,18
0,18
0,18
0,0
0,0
2,18
0,16
0,16
0,16
6,10
0,10
6,4
4,6
0,10
0,12
4,10
8,2
0,6
4,2
0,2
0,2
2,2
0,2
0,2
0,10
0,10
6,6
0,8
2,10
0,10
0,10
0,14
0,16
16,10
0,0
0,0
0,0
0,6
4,2
0,6
0,6
2,4
0,0
0,0
0,4
0,6
0,6
2,8
0,0
0,0
2,12
2,8
0,10
0,10
0,16
0,16
0,16
2,14
0,14
2,14
0,12
2,14
0,12
0,12
0,12
2,10
6,6
0,8
6,8
0,8
6,6
2,2
0,6
0,12
4,10
2,8
4,6
0,12
0,12
0,12
4,8
0,8
2,10
0,0
0,0
8,2
2,0
0,0
0,0
0,0
0,2
0,2
2,6
0,4
2,4
2,0
0,0
0,0
0,0
0,10
2,8
0,12
4,8
0,8
2,6
0,10
0,0
0,0
0,0
0,16
0,16
0,18
0,18
0,18
0,18
2,16
0,16
0,18
0,18
8,16
4,8
0,8
2,6
0,8
2,12
0,10
0,10
6,4
4,0
0,0
0,2
0,10
2,14
0,12
8,6
0,6
0,6
4,2
2,4
0,0
2,0
0,0
0,2
2,0
0,0
0,0
0,0
0,0
0,0
0,14
0,16
0,16
4,12
0,12
2,10
0,12
2,10
2,8
0,8
0,8
2,6
0,8
0,10
0,12
0,14
0,14
2,12
0,0
0,0
0,0
0,0
0,14
0,14
6,8
2,8
0,8
8,4
0,6
2,8
0,8
2,4
0,6
2,4
0,6
0,10
2,8
8,0
0,0
0,6
2,10
4,6
2,4
2,2
0,2
2,2
2,8
0,0
0,0
0,0
0,10
0,12
0,12
10,4
0,8
0,8
0,8
6,4
0,6
0,8
0,10
0,0
0,0
0,10
0,10
0,12
0,12
0,14
0,14
0,14
0,14
0,14
0,0
0,0
0,14
0,14
2,12
0,12
2,10
2,8
2,6
0,10
2,8
6,6
0,4
4,0
0,0
0,8
2,8
0,8
0,8
2,8
4,2
0,2
0,8
2,10
0,8
0,8
4,4
0,4
0,4
4,8
0,8
2,2
2,0
0,0
0,0
0,0
0,0
0,4
0,4
0,4
4,2
0,0
0,0
0,0
0,0
0,12
0,0
