Demand,Supply
0,24
2,24
2,20
0,24
0,24
0,24
0,24
0,24
0,24
0,24
0,26
2,24
0,24
0,24
4,20
0,20
12,12
0,10
0,14
0,18
0,18
0,20
0,22
0,22
2,20
0,22
0,22
0,24
2,22
0,22
0,22
0,24
0,26
0,26
2,24
4,22
0,22
12,8
0,8
0,8
0,10
2,14
0,16
0,20
2,22
0,22
0,22
2,20
0,20
0,24
0,24
0,26
2,24
0,26
0,26
0,26
0,26
0,26
0,26
0,26
2,26
0,24
2,22
6,18
0,16
4,12
0,16
0,16
0,20
0,20
2,22
0,24
0,24
0,24
0,24
2,26
0,24
0,24
0,24
0,24
0,26
0,26
0,26
20,14
2,6
0,8
0,14
2,18
2,16
0,16
0,18
0,18
0,20
4,16
0,20
0,20
2,20
0,20
0,20
2,18
0,20
0,20
2,22
0,20
0,0
0,0
0,22
0,22
0,22
0,22
2,22
12,8
2,10
2,8
0,10
0,12
0,18
0,18
0,18
0,20
2,24
6,20
6,12
0,18
0,18
0,22
0,24
2,24
0,22
2,24
0,24
10,18
0,12
0,14
6,10
2,8
0,8
0,10
0,12
0,14
0,18
2,20
2,18
0,20
0,20
0,22
0,24
0,24
2,22
2,22
0,22
0,22
0,22
0,22
0,24
2,24
0,22
0,22
2,20
2,18
0,20
2,20
0,20
0,24
0,24
0,24
4,24
2,20
0,20
4,18
0,18
0,20
4,22
0,18
6,22
0,16
4,12
0,12
0,18
0,18
18,8
0,2
0,2
2,8
0,6
0,8
0,12
0,12
0,16
0,22
0,22
6,16
0,20
0,22
0,22
0,22
0,24
0,24
6,20
0,18
0,20
0,22
0,24
0,24
0,24
0,24
4,22
4,20
2,16
2,12
0,12
0,12
0,16
0,18
0,18
0,22
0,22
0,24
2,24
2,24
0,22
4,22
0,22
2,22
0,22
2,22
0,20
2,18
10,8
0,12
0,18
0,18
0,18
4,14
0,14
0,14
2,18
0,18
0,22
2,22
0,20
0,20
0,22
2,20
0,22
2,20
0,20
2,20
0,20
0,20
0,22
0,22
0,24
0,24
0,24
2,22
0,24
0,26
0,26
6,20
4,20
0,18
0,18
2,18
0,20
2,18
0,20
2,18
4,22
2,20
4,16
0,14
0,18
0,20
2,20
0,20
0,20
0,20
0,22
0,24
6,18
0,18
0,20
2,22
2,22
2,24
0,22
0,22
0,22
0,24
0,26
0,26
0,26
2,26
0,26
0,26
0,26
0,26
0,26
0,28
0,28
0,28
0,28
2,28
2,24
0,24
6,22
2,16
0,20
0,22
0,22
0,22
0,24
4,26
0,22
2,22
0,20
0,20
0,22
4,24
0,20
0,20
0,22
0,22
4,18
2,16
0,16
0,18
0,24
0,24
2,22
0,22
0,22
0,22
0,22
0,24
