Demand,Supply
0,8
2,6
0,6
0,8
0,12
0,16
0,20
2,18
0,18
0,18
2,16
0,18
2,16
2,14
12,10
2,10
2,6
0,6
0,4
2,2
0,12
4,10
4,8
0,8
2,6
2,8
0,6
0,8
0,8
6,8
0,10
0,12
0,12
4,10
6,8
8,8
0,0
0,0
0,2
2,2
2,2
0,4
0,6
4,12
2,10
0,10
0,10
2,8
0,0
0,0
0,8
0,12
0,12
0,18
0,18
0,22
0,22
2,20
0,22
0,22
2,22
0,22
2,20
8,16
4,8
2,6
2,10
0,10
0,14
6,8
2,10
2,12
0,16
2,16
4,12
0,14
0,16
0,18
4,16
0,16
0,16
10,14
0,6
6,4
0,8
6,2
2,0
0,0
0,0
0,2
0,2
0,2
0,2
0,14
4,12
0,12
0,14
0,14
0,18
0,18
0,18
2,22
0,22
0,22
0,0
0,0
2,20
0,22
6,20
0,16
4,12
6,6
6,6
0,4
0,6
0,12
2,14
2,10
0,12
6,6
2,8
2,12
0,12
0,14
6,8
2,8
4,4
0,12
0,12
2,10
2,12
4,8
6,16
10,0
0,0
0,0
0,0
0,2
0,4
0,0
0,0
2,12
2,8
0,8
0,8
0,8
0,20
4,16
6,14
0,20
2,22
0,22
0,24
0,24
0,24
4,20
4,20
0,18
0,18
4,14
2,14
6,10
4,6
0,6
0,6
0,8
0,12
2,14
0,12
2,16
4,18
4,12
2,8
0,14
0,16
0,18
4,14
0,14
12,2
2,2
0,6
2,4
0,4
0,8
8,8
0,2
0,2
0,16
4,14
0,14
4,8
6,2
0,4
0,12
2,10
0,14
0,0
0,0
0,20
0,20
0,22
4,20
0,18
0,20
2,22
2,20
4,16
0,16
0,16
0,16
6,12
2,8
0,12
0,14
0,16
6,10
0,10
8,2
2,10
4,10
0,12
6,8
0,8
0,10
4,8
4,4
2,6
4,6
0,2
0,2
0,12
4,8
0,8
6,2
0,4
0,4
0,16
0,16
6,10
4,6
4,12
0,8
0,8
0,14
2,12
0,16
2,14
0,14
0,20
0,0
0,0
0,0
0,0
0,22
0,22
10,12
0,14
0,14
0,14
8,8
0,8
4,16
0,16
6,12
8,2
0,4
4,0
0,0
2,8
2,16
0,16
6,18
4,10
2,8
0,6
0,8
0,0
0,0
2,8
0,8
0,8
2,8
2,4
0,4
0,14
0,14
2,14
0,16
0,16
6,10
0,12
0,14
0,16
0,16
2,20
0,20
0,20
0,20
0,20
2,18
4,14
0,14
0,16
0,18
0,20
8,12
0,12
4,10
0,10
2,16
0,16
8,10
2,4
0,4
0,6
0,10
0,10
2,8
0,12
0,18
4,14
0,16
2,14
0,14
0,14
12,2
0,2
2,2
2,6
0,6
0,10
0,12
2,10
0,0
0,0
6,4
