Demand,Supply
4,22
0,22
0,24
0,24
0,34
0,38
0,38
0,38
0,38
0,38
2,38
2,34
0,36
2,34
4,32
0,32
6,30
0,30
10,20
2,18
0,20
2,20
0,22
0,24
4,20
6,22
2,14
0,26
0,28
2,32
6,28
0,28
0,30
2,30
8,28
16,18
2,6
2,4
2,10
6,4
2,2
2,2
0,8
0,14
10,6
0,6
0,14
2,12
0,14
0,14
0,28
0,32
0,32
0,32
0,32
0,32
0,32
0,32
0,32
2,30
0,32
4,28
0,28
2,30
4,26
16,8
0,16
4,18
0,24
0,30
0,30
12,28
4,14
0,20
4,20
0,16
10,12
0,12
0,22
0,28
2,30
6,30
0,30
6,24
2,20
4,14
0,18
10,12
2,10
0,10
0,18
0,20
0,20
0,30
2,34
0,34
6,26
0,36
0,38
0,40
0,42
0,44
0,44
0,46
0,0
0,0
2,44
0,44
0,44
2,46
0,44
6,38
14,28
6,26
0,30
4,32
0,34
4,42
2,40
16,26
0,24
6,26
8,24
2,16
0,16
2,28
0,34
2,34
0,42
6,38
6,36
0,36
2,28
12,20
0,20
2,16
2,14
0,16
2,22
0,22
0,32
4,34
6,38
2,30
2,30
0,34
0,36
0,36
0,42
0,44
0,44
0,46
0,46
0,46
26,46
0,46
4,46
0,44
12,36
0,34
0,36
4,34
6,30
0,28
0,34
0,36
0,38
16,38
0,38
20,8
2,18
0,32
6,26
8,18
0,22
0,28
0,36
0,36
8,28
0,28
12,22
4,22
0,22
2,22
0,22
8,14
0,14
2,12
0,20
0,20
0,22
0,32
0,34
0,38
0,38
0,44
0,0
0,0
0,46
0,46
0,46
0,46
0,46
0,46
2,46
2,44
0,42
2,42
6,36
0,36
8,34
0,34
0,34
0,34
2,32
14,20
0,20
0,20
0,28
2,28
2,26
0,28
0,30
2,32
0,36
0,38
8,30
4,26
12,16
0,16
0,26
2,24
0,24
14,10
0,20
0,20
8,14
0,14
0,24
4,22
0,28
0,30
0,36
0,42
2,40
0,40
0,40
0,40
0,44
0,0
0,0
0,0
0,0
0,44
2,42
0,44
2,42
2,40
0,40
4,36
0,36
2,36
6,36
8,22
6,24
2,16
0,20
0,28
0,28
2,32
2,32
0,34
0,34
0,38
2,38
4,32
0,0
0,0
8,28
0,28
0,30
4,32
4,28
2,26
0,28
0,32
0,34
0,36
0,38
2,38
0,38
0,40
0,40
0,42
2,40
0,44
0,44
0,44
0,44
0,44
0,44
2,42
0,42
0,42
0,42
0,44
0,44
4,42
2,38
6,32
0,36
0,38
2,36
10,38
0,34
2,34
0,34
6,28
0,34
0,38
0,38
4,36
0,36
8,30
0,30
8,18
0,20
10,10
4,18
0,18
0,30
6,28
2,26
0,26
0,32
0,0
