Demand,Supply
1,14
0,15
0,16
0,16
2,15
0,15
0,19
1,19
0,19
1,18
0,19
2,18
1,16
0,17
2,15
3,12
8,5
0,5
0,8
0,15
0,17
0,18
3,17
1,14
3,11
2,10
0,10
0,13
1,12
0,14
1,16
0,15
2,13
1,14
4,14
4,8
0,7
0,9
3,9
1,6
0,7
0,10
3,8
0,7
1,8
0,8
0,9
0,10
0,0
0,0
0,14
0,17
0,17
0,19
0,19
0,19
12,19
0,19
0,19
0,20
2,18
6,12
1,11
2,10
0,13
1,12
2,16
2,14
0,13
0,18
1,17
4,17
3,10
3,8
0,10
0,13
0,15
2,13
2,13
0,11
1,11
1,11
1,10
3,8
1,7
0,6
2,4
2,3
0,4
0,8
0,8
1,7
0,7
1,11
3,9
0,9
0,12
0,14
0,16
0,16
0,17
0,17
0,18
0,18
0,0
0,0
10,18
1,18
1,16
0,17
3,14
0,14
6,9
2,13
1,11
0,13
0,15
0,16
1,16
5,10
2,9
2,11
0,11
1,10
0,10
1,11
1,9
0,10
3,7
2,7
2,5
3,6
0,7
1,8
0,8
2,7
0,7
0,10
1,11
0,11
0,11
2,10
1,10
0,11
2,11
0,11
0,13
0,13
0,18
0,18
0,18
0,18
0,18
0,18
0,18
1,18
0,17
0,17
6,11
5,7
1,6
0,9
2,9
0,8
0,12
0,14
2,12
3,12
0,10
2,9
2,9
1,7
0,9
0,13
0,15
1,14
5,9
0,9
5,4
3,1
0,4
1,3
0,3
1,2
0,3
0,6
0,11
1,10
3,7
0,7
0,9
0,11
4,7
0,11
0,12
0,12
0,0
0,0
0,14
0,14
0,15
0,15
0,15
0,15
1,15
1,14
3,11
1,9
4,7
0,7
0,10
0,10
0,11
1,10
1,9
0,10
0,10
5,5
1,9
1,8
0,12
2,12
2,10
1,10
0,11
2,9
0,9
1,8
1,8
0,8
6,5
0,3
0,3
0,7
1,6
0,6
0,6
0,6
0,6
0,8
2,11
1,8
0,8
0,9
0,11
0,13
0,16
0,16
0,16
0,0
0,0
0,0
0,0
4,12
0,12
0,12
0,12
0,13
0,13
6,8
1,6
3,6
1,3
3,9
4,5
0,4
1,4
1,6
1,7
1,10
2,8
1,9
1,8
3,7
0,7
0,8
0,0
0,0
7,1
1,1
0,2
0,4
1,9
0,9
2,7
0,7
1,6
0,7
1,6
0,8
1,9
1,8
0,9
7,2
0,12
0,12
0,12
0,13
0,13
0,13
1,12
1,11
2,11
0,12
1,11
2,10
0,9
0,10
0,10
1,9
1,8
2,6
4,4
0,2
0,2
1,4
0,4
1,5
0,4
3,1
0,1
0,4
0,4
4,6
2,0
0,0
3,3
0,3
0,2
0,2
0,5
0,5
4,2
1,1
0,5
0,0
