Demand,Supply
0,24
0,24
2,22
0,22
2,20
2,18
0,18
0,20
0,24
0,24
0,24
0,26
2,24
0,26
4,26
2,20
6,20
0,20
2,20
2,20
8,12
0,14
0,22
0,22
2,20
0,20
0,20
4,20
6,10
2,12
0,20
0,20
0,26
8,22
4,20
2,16
2,12
0,12
4,8
0,12
4,8
0,20
6,14
0,16
4,14
0,14
0,12
0,14
0,0
0,0
0,24
0,24
0,24
2,22
0,26
0,26
0,26
0,26
0,26
4,22
0,24
2,22
0,24
6,20
0,18
0,20
0,20
0,20
6,20
2,18
0,18
0,20
4,18
2,16
0,16
14,20
0,26
0,26
0,26
0,26
2,24
2,26
0,26
2,24
0,24
4,20
10,10
0,12
2,10
0,16
0,18
0,18
0,18
8,12
0,20
0,20
4,16
0,16
0,20
0,24
0,30
2,30
0,28
0,28
0,0
0,0
0,30
0,30
0,30
2,30
0,28
0,28
4,26
2,22
0,22
0,28
0,28
8,24
0,24
0,24
0,26
4,24
0,24
0,24
0,24
0,26
2,24
2,22
0,22
2,22
0,22
8,16
10,10
0,12
0,12
6,18
2,10
8,8
2,12
0,12
0,14
0,18
2,20
0,22
0,24
0,24
2,26
0,26
4,26
4,22
0,24
0,26
0,30
0,30
0,30
2,32
4,28
0,26
0,28
4,24
2,22
0,24
4,20
0,20
2,28
0,28
8,20
2,24
0,24
16,12
6,12
4,4
0,6
0,18
2,22
0,22
0,24
0,24
0,24
16,8
4,8
0,8
0,8
2,10
2,8
2,14
0,14
4,18
2,16
0,14
2,12
0,14
0,22
2,26
0,26
0,28
0,0
0,0
2,26
0,26
0,32
0,32
0,32
0,32
0,32
0,32
2,32
4,26
2,26
0,26
8,24
0,24
2,26
0,26
0,26
2,24
0,24
4,20
8,18
4,14
0,16
4,20
2,18
0,20
0,24
0,28
2,28
6,20
2,18
0,18
2,16
0,20
0,20
0,20
0,22
0,22
0,24
0,24
0,24
2,26
0,26
0,28
0,28
4,24
0,26
2,24
0,26
0,28
0,28
0,0
0,0
0,0
0,0
0,28
0,28
2,26
2,24
2,26
0,26
0,28
4,28
2,24
0,24
4,24
2,18
0,20
2,20
0,22
0,28
2,28
4,24
0,22
4,22
0,20
6,18
0,18
0,0
0,0
6,14
2,10
0,12
0,16
0,20
2,20
0,18
0,22
0,22
2,20
0,24
0,24
0,24
0,24
0,24
0,28
0,28
2,26
0,26
0,26
0,26
2,26
0,26
0,26
0,26
0,28
0,28
2,26
0,26
2,26
0,24
4,22
0,26
6,22
0,22
0,22
2,22
0,22
0,22
2,20
0,24
0,0
0,0
6,20
0,20
4,24
0,24
0,24
4,22
0,22
2,22
0,22
10,10
0,10
4,6
0,6
0,10
0,0
