Demand,Supply
4,30
0,28
0,28
0,30
0,32
0,34
0,34
0,34
0,34
0,34
0,34
0,34
0,34
6,28
6,22
0,24
16,18
0,18
0,8
0,16
0,16
2,24
8,16
0,18
0,24
0,26
4,22
8,14
4,10
14,20
2,22
0,22
6,16
0,20
2,24
2,20
10,12
6,4
4,4
0,2
0,4
0,4
2,4
2,4
0,6
0,8
0,20
0,26
0,0
0,0
0,32
0,34
0,34
0,36
0,36
0,36
0,36
0,36
0,36
0,36
0,36
4,32
4,32
10,24
6,12
2,10
0,14
0,18
0,24
0,30
4,26
2,28
6,24
14,18
4,14
2,12
0,12
2,10
0,12
2,10
0,22
0,28
0,28
6,24
14,18
0,8
8,8
4,6
0,6
0,8
0,8
6,6
0,6
0,16
0,24
0,24
0,28
0,38
2,36
0,38
2,40
0,40
2,38
0,38
0,0
0,0
0,38
2,38
0,36
6,32
12,18
4,14
8,8
6,6
0,4
2,6
0,12
0,22
4,26
0,24
0,26
6,30
0,26
2,24
0,26
0,30
8,22
4,18
0,22
2,26
0,26
4,22
8,18
10,8
2,6
2,4
0,14
4,14
6,8
0,0
8,0
0,16
0,22
0,22
0,22
0,22
0,30
0,32
0,32
0,32
2,30
0,30
0,32
0,32
0,32
2,30
2,28
4,24
8,16
10,8
0,6
2,10
8,12
2,2
2,16
0,20
0,22
4,24
0,24
6,14
0,20
2,22
0,22
0,22
10,16
0,12
0,14
0,14
0,16
0,16
16,16
0,4
0,4
4,2
0,2
0,2
0,2
4,12
4,6
0,6
0,10
0,12
0,24
2,28
0,28
0,28
0,0
0,0
0,32
0,32
0,32
0,32
0,32
2,32
0,30
2,30
4,28
2,24
12,10
6,4
4,8
0,16
4,20
0,20
0,20
2,20
0,20
14,6
0,18
4,16
4,18
4,18
0,18
2,22
0,20
4,16
6,10
2,8
0,12
0,12
12,4
0,4
0,4
0,8
4,6
0,6
0,8
0,8
0,10
4,8
0,12
0,16
0,20
0,22
0,30
0,30
0,30
0,30
0,30
0,0
0,0
0,0
0,0
2,28
0,28
6,24
6,16
0,16
0,16
2,20
6,20
2,14
2,12
8,22
2,12
2,10
0,16
2,18
6,18
4,16
2,10
2,14
12,10
2,12
0,18
2,16
0,0
0,0
4,14
4,8
0,18
2,16
4,18
2,16
0,18
0,20
0,20
0,20
0,22
0,26
0,28
2,26
0,26
0,26
0,26
0,26
0,28
0,28
0,28
2,26
0,26
2,24
4,24
0,22
4,18
4,14
0,14
2,14
0,12
0,16
0,22
8,14
0,16
4,12
4,12
6,8
0,8
0,14
4,10
0,0
0,0
0,16
8,8
0,8
0,0
8,0
4,4
0,2
2,8
0,8
0,12
0,12
2,10
0,10
0,10
0,0
