Demand,Supply
0,10
0,12
0,12
0,12
0,14
0,16
0,16
2,16
0,14
0,16
0,16
0,16
0,16
0,16
2,16
6,8
8,2
0,2
0,10
0,14
6,8
2,12
0,10
0,10
0,10
6,6
2,4
0,8
0,10
0,12
0,12
0,14
0,14
4,10
0,10
8,14
2,4
4,0
0,0
0,0
0,0
0,2
0,10
4,12
2,6
0,6
2,4
0,4
0,0
0,0
0,12
0,12
0,12
0,12
0,12
0,14
2,14
0,16
0,16
0,16
0,16
0,16
0,16
8,14
2,6
2,4
0,10
0,12
4,16
2,10
0,10
0,14
4,10
0,12
4,10
2,6
2,8
0,12
0,14
0,14
0,18
0,20
0,20
0,22
4,22
8,10
6,4
2,10
0,8
0,14
0,14
2,12
0,12
2,10
0,18
0,18
0,18
0,18
2,20
0,18
0,22
0,22
0,22
2,22
0,0
0,0
0,24
0,24
0,24
4,20
0,20
6,14
12,2
0,10
0,18
0,22
2,24
4,20
2,16
2,14
0,14
2,16
0,18
0,18
6,12
0,14
0,18
0,22
2,20
2,20
0,20
6,18
6,16
0,12
2,10
4,6
2,4
0,14
2,18
0,18
2,14
0,18
4,16
0,16
2,16
0,16
0,20
0,20
0,20
0,20
0,20
0,22
2,20
0,24
0,24
0,24
0,24
0,24
0,24
8,16
8,10
0,12
2,14
0,12
0,18
0,18
0,24
0,24
0,24
4,22
4,18
0,18
0,18
0,20
6,22
0,18
0,18
4,14
2,12
0,12
4,16
0,14
0,14
8,6
0,10
2,10
0,14
0,16
0,16
0,18
0,18
0,20
0,20
0,20
2,18
0,18
0,0
0,0
0,24
0,24
4,20
0,22
0,24
0,24
0,24
0,24
0,24
14,18
0,10
0,10
2,12
0,14
0,18
2,16
0,16
0,18
0,18
0,24
4,24
0,20
4,18
0,20
0,20
6,16
0,18
0,22
2,20
2,18
0,20
0,20
4,16
0,20
0,20
8,12
0,12
0,12
0,12
0,12
0,14
0,16
0,16
0,18
0,22
0,26
0,26
2,24
0,26
2,24
4,20
0,20
0,0
0,0
0,0
0,22
0,22
0,22
2,20
0,20
0,20
2,18
0,22
4,20
0,20
4,16
4,10
0,12
0,12
0,14
2,14
0,16
0,18
0,22
2,22
2,18
0,20
2,18
0,0
0,0
10,12
0,0
0,0
4,10
0,14
0,14
0,14
0,16
0,18
0,20
0,20
0,22
0,24
0,24
0,24
0,24
4,22
0,22
0,22
0,22
0,22
0,24
0,24
2,24
0,22
2,22
0,20
0,20
4,16
4,16
0,14
0,20
0,20
0,22
0,22
4,24
6,20
4,10
0,10
0,16
0,18
0,20
0,20
6,20
0,20
0,16
0,16
2,14
8,16
2,6
0,6
0,6
2,16
0,16
0,16
0,16
0,0
0,0
