Demand,Supply
4,14
2,14
0,12
0,14
0,14
0,16
4,12
0,14
0,14
2,16
0,16
0,16
0,16
2,14
3,12
0,12
13,7
0,7
0,9
0,9
0,12
0,14
3,12
9,11
0,7
0,9
0,11
0,12
3,9
4,7
0,7
0,11
0,11
4,9
0,7
2,7
0,7
0,11
4,9
0,11
4,7
0,9
2,7
2,11
0,9
2,7
0,9
2,7
0,0
0,0
0,7
0,11
0,11
0,12
0,12
0,12
0,12
0,12
0,54
26,28
16,12
0,12
1,12
0,11
4,7
0,7
0,11
8,11
4,5
0,7
16,25
0,9
4,9
0,9
4,9
0,7
0,12
1,11
0,11
0,12
1,14
3,11
4,7
0,9
2,7
0,7
0,7
2,11
2,9
0,9
0,9
0,9
0,9
0,11
4,11
0,11
0,12
1,11
0,12
0,14
0,14
44,58
0,14
0,14
0,0
0,0
0,28
14,14
0,14
2,12
1,11
2,9
8,11
1,12
0,11
2,16
3,13
0,16
4,12
0,14
2,14
0,14
0,14
0,16
7,9
1,12
0,11
0,11
0,12
3,9
2,7
0,9
12,35
18,7
0,9
2,7
0,7
0,12
0,16
0,0
0,0
28,32
0,11
2,9
0,9
0,9
0,9
0,9
2,14
0,12
0,12
0,12
0,12
0,12
0,12
0,12
0,12
0,12
5,7
2,7
1,7
0,7
2,9
0,7
0,11
0,12
5,7
4,13
0,13
2,7
2,11
2,9
2,7
0,11
5,16
2,9
2,7
0,7
0,11
0,11
6,7
0,7
0,7
0,7
0,9
0,11
4,7
0,7
0,7
0,30
21,9
2,7
0,9
0,9
0,9
0,9
0,0
0,0
0,11
0,11
2,11
0,11
0,11
0,11
29,40
0,11
0,11
4,9
2,9
2,7
14,23
0,14
7,9
2,9
0,11
0,12
0,12
1,11
2,9
2,11
0,11
16,25
0,25
0,11
0,11
2,9
0,19
10,9
2,7
0,7
0,7
0,7
0,7
0,9
0,11
0,11
2,9
0,9
0,9
4,7
0,9
0,9
0,11
0,37
25,12
0,12
2,14
0,12
0,12
0,0
0,0
0,0
0,0
3,9
0,9
0,14
2,12
3,9
0,9
0,11
4,7
4,15
0,15
4,11
0,11
4,7
2,9
0,7
2,9
20,27
0,9
2,11
2,7
0,9
2,7
2,5
0,0
0,0
0,7
0,7
2,7
0,7
0,11
2,9
2,7
2,7
0,9
0,44
37,7
0,7
0,9
0,11
22,33
0,35
24,11
0,11
0,11
0,11
0,11
0,11
0,11
4,9
0,7
2,9
0,9
0,11
2,11
2,7
0,7
0,7
0,7
2,9
3,7
0,7
0,7
0,7
0,7
0,12
7,7
0,0
0,0
0,9
0,9
2,11
0,11
4,5
0,7
0,9
2,9
0,9
0,7
0,7
0,7
0,7
0,11
0,0
