Demand,Supply
2,16
2,14
0,20
0,20
2,18
0,24
0,28
0,28
0,28
0,28
0,28
0,28
4,26
0,24
10,14
8,6
2,10
0,10
6,14
2,8
0,12
0,14
6,12
0,12
8,2
0,2
2,2
4,6
0,14
2,20
10,18
0,18
8,10
0,16
8,14
0,14
0,14
12,2
2,2
2,2
0,2
0,2
0,2
0,2
0,6
0,6
0,20
10,10
8,4
0,4
0,2
0,2
0,12
0,22
0,22
0,26
0,28
0,28
0,28
0,28
4,28
4,20
4,20
16,10
0,2
0,2
0,14
0,18
0,20
2,22
0,22
2,26
0,24
2,24
4,20
2,18
6,16
0,20
6,14
2,16
4,16
0,12
0,12
10,4
2,0
0,0
0,2
2,2
0,2
2,2
0,2
0,4
0,4
0,16
0,16
0,16
0,18
0,22
4,20
0,20
0,26
0,26
0,26
2,28
0,0
0,0
0,28
0,28
2,28
4,26
2,20
4,16
16,4
0,12
2,16
0,20
2,22
2,26
2,22
2,20
12,12
2,10
4,16
0,16
0,16
10,14
0,10
4,10
0,12
4,14
0,12
8,6
2,2
4,4
0,4
0,8
0,10
4,14
4,14
0,12
6,6
4,2
0,4
4,2
2,6
0,6
0,18
0,22
2,22
4,18
2,20
0,20
0,24
0,24
0,24
2,24
4,20
0,18
2,20
12,8
4,4
0,10
6,16
0,10
0,10
0,16
2,16
2,20
0,18
8,18
14,8
0,8
0,4
2,18
2,14
2,12
4,8
0,0
8,0
0,2
0,4
0,4
0,4
0,6
2,4
0,8
8,8
2,2
0,2
0,8
0,8
0,12
4,10
2,6
0,10
0,14
0,18
0,18
0,24
0,24
0,26
0,26
0,26
2,24
0,24
0,26
4,26
20,22
2,22
0,6
6,18
0,18
4,10
0,12
0,12
8,6
0,0
0,0
2,16
10,12
2,4
0,4
0,8
8,4
0,4
10,10
0,10
0,2
2,2
0,2
2,2
2,2
0,2
0,10
10,2
0,2
2,2
0,2
0,10
0,18
0,18
0,18
2,16
0,20
2,18
0,18
0,20
0,20
0,24
0,24
0,0
0,0
0,24
0,24
6,18
0,18
2,18
4,16
2,10
4,8
2,10
8,8
2,6
0,12
4,8
4,8
4,0
0,0
0,2
2,10
2,8
2,10
2,14
4,18
14,10
0,0
0,0
0,6
2,4
4,0
0,0
0,0
0,6
0,16
8,18
2,10
6,4
2,2
0,4
0,10
4,8
0,8
0,14
0,16
0,22
0,22
2,22
0,22
0,24
2,22
0,22
0,22
0,24
2,24
0,22
2,22
4,18
4,16
0,20
10,14
0,14
2,10
0,14
0,14
2,12
4,10
2,10
6,4
4,4
0,4
0,10
2,8
0,12
4,10
0,10
6,2
0,2
2,2
0,2
0,2
0,2
0,8
2,10
2,8
0,0
0,0
