Demand,Supply
0,20
0,28
0,28
0,28
0,36
0,38
0,41
3,41
0,41
3,38
0,41
5,41
0,41
5,31
0,41
0,41
23,25
0,25
2,18
0,20
3,31
0,36
0,38
5,36
2,31
3,33
2,31
0,33
2,31
5,31
0,36
3,33
0,43
2,41
8,38
2,31
5,28
3,23
8,23
3,18
7,10
0,23
0,28
0,36
3,33
7,31
3,23
5,18
0,20
0,31
0,31
0,36
0,36
0,38
0,43
0,43
2,41
0,41
0,41
0,43
0,43
2,41
5,36
0,36
18,28
3,15
0,26
2,30
0,28
0,33
0,38
2,36
3,33
2,31
0,38
10,33
8,20
20,18
0,26
0,28
0,31
5,33
0,33
0,33
5,33
0,36
10,26
11,18
0,18
8,10
0,15
0,20
0,20
5,15
0,15
0,15
0,18
0,20
0,28
0,33
0,36
0,36
0,41
0,41
0,0
0,0
0,41
0,41
5,36
0,36
5,31
8,23
13,20
0,15
0,23
0,26
2,28
6,23
2,28
3,31
3,34
13,33
5,20
5,28
0,28
3,26
3,20
0,26
8,18
0,23
0,23
3,23
0,23
12,10
0,10
0,15
2,13
0,15
10,20
0,20
2,8
0,13
0,18
8,10
0,15
0,26
0,28
0,31
3,31
0,36
0,36
0,36
0,41
0,41
0,41
0,41
3,41
0,38
5,33
15,28
7,13
8,8
2,3
0,13
8,18
0,18
0,26
23,23
13,10
0,15
8,26
3,20
0,20
0,33
5,31
3,28
0,28
0,28
0,36
0,38
7,38
3,28
0,28
20,18
0,15
7,8
0,8
5,8
0,10
0,10
0,26
0,26
6,23
0,26
0,26
0,28
0,0
0,0
0,38
0,41
0,46
0,46
0,46
0,46
0,46
3,43
7,38
8,28
10,20
2,18
8,26
0,20
2,25
0,25
0,31
0,31
0,31
0,31
10,33
3,23
7,18
3,23
0,23
0,36
0,36
5,31
0,31
0,33
7,28
0,28
16,18
0,10
0,13
0,20
2,20
0,20
3,26
0,26
0,26
3,26
0,23
0,28
0,31
0,33
0,38
0,38
0,41
0,41
3,38
0,0
0,0
0,0
0,0
0,38
2,36
10,26
0,31
3,31
0,31
0,33
5,36
0,33
0,33
7,28
3,28
2,26
8,23
8,10
0,23
3,26
0,28
0,33
0,41
0,41
8,38
0,0
0,0
0,0
15,20
0,20
0,23
3,31
5,23
0,31
3,36
5,33
5,26
6,20
0,28
0,28
0,28
0,33
0,41
0,41
0,43
0,43
0,43
0,43
0,43
0,43
0,43
5,38
2,38
3,36
0,36
5,31
0,33
7,38
0,38
3,28
0,28
5,28
0,28
5,23
6,26
2,18
0,18
0,31
5,31
3,23
3,20
0,26
0,26
8,23
15,3
0,3
0,10
0,10
3,13
0,13
5,5
0,5
0,13
3,10
10,0
0,0
