Demand,Supply
2,19
0,24
0,26
2,24
3,21
0,24
0,24
0,28
0,28
0,28
0,28
0,28
0,28
4,24
7,17
4,13
0,19
0,19
0,21
7,24
2,21
0,24
3,24
3,21
6,15
2,15
0,15
0,24
0,26
0,26
2,26
0,26
3,21
2,21
2,21
10,11
0,0
9,0
0,6
0,11
0,15
0,21
4,17
4,13
2,15
0,15
9,4
0,6
0,9
0,9
0,15
0,19
0,21
2,26
3,21
0,24
0,28
0,28
0,28
2,26
5,26
4,17
0,17
0,19
2,17
0,17
0,17
0,21
2,19
0,19
0,19
2,21
4,17
0,15
2,17
0,21
2,19
0,19
2,17
0,17
4,15
0,17
0,17
13,6
2,17
0,17
4,11
5,11
4,4
0,15
2,13
0,15
0,15
2,15
2,15
0,15
2,15
2,11
0,15
0,15
0,15
0,19
0,21
0,26
0,0
0,0
0,26
5,24
0,24
7,24
0,19
0,19
6,21
2,19
0,17
0,17
0,21
6,17
4,13
0,17
6,13
2,13
0,13
4,11
0,11
2,19
0,17
0,17
4,21
4,17
0,15
4,11
0,11
11,4
0,4
0,11
0,17
0,17
6,17
2,11
2,9
0,9
0,9
3,11
0,15
0,15
2,21
0,21
2,21
0,26
2,26
0,26
0,26
0,26
0,26
2,24
0,24
3,21
0,21
4,21
0,24
5,19
8,13
0,13
2,17
0,21
2,19
8,17
0,13
0,21
2,19
0,21
2,19
2,21
0,19
0,21
4,17
0,17
11,6
0,6
2,17
4,11
0,11
0,13
0,15
6,9
0,9
0,9
2,11
0,13
2,11
0,11
0,19
0,24
0,24
0,26
0,0
0,0
2,24
0,24
0,26
0,28
0,28
2,26
0,26
2,28
5,26
4,21
2,26
0,26
2,28
0,28
4,26
0,24
0,26
2,24
0,0
0,0
5,21
3,24
0,24
7,21
0,21
6,19
0,17
0,21
2,21
4,17
4,15
4,9
3,6
6,4
0,4
0,11
5,9
0,9
0,9
0,13
0,13
0,17
0,24
3,21
0,21
2,19
2,17
0,19
0,21
0,24
0,28
0,28
0,0
0,0
0,28
0,28
2,26
0,26
0,26
0,26
2,24
5,21
4,19
2,19
4,15
0,13
0,19
0,24
0,26
5,24
2,21
6,19
0,19
0,17
4,19
0,19
0,19
0,24
0,24
15,9
0,11
0,13
0,15
2,19
0,21
0,26
2,28
7,24
2,17
0,17
0,17
0,24
0,26
0,28
0,28
0,28
0,28
0,28
0,28
0,28
0,28
4,24
0,24
3,21
6,19
0,15
0,19
0,19
3,27
2,26
5,26
4,19
0,19
0,17
2,15
0,17
2,15
2,19
0,17
0,21
3,24
2,19
4,15
4,11
0,15
4,17
0,15
0,15
0,21
0,21
12,15
0,15
2,11
0,11
0,17
0,17
0,0
0,0
