Demand,Supply
2,12
0,12
12,26
0,26
0,17
0,17
0,17
0,17
0,17
0,27
12,15
0,15
24,41
0,17
2,15
0,15
14,20
0,20
3,17
0,14
7,7
1,10
16,24
0,15
1,14
4,10
15,27
0,22
3,19
2,17
5,14
0,14
0,29
14,19
11,25
11,10
0,10
0,9
0,9
2,14
2,12
2,14
7,7
0,9
2,9
0,9
0,14
0,24
9,15
0,15
0,37
20,17
0,17
0,31
12,19
0,32
12,20
0,20
0,20
0,20
0,20
0,31
12,20
7,17
0,12
5,7
0,20
0,20
1,20
0,19
2,17
2,19
0,17
3,15
4,14
0,20
8,16
0,14
14,31
3,14
2,12
0,14
0,14
5,10
3,12
0,12
5,7
2,9
2,9
0,10
0,19
7,12
0,12
2,10
3,10
0,10
0,22
8,15
0,17
0,17
0,19
12,31
0,19
2,19
0,0
0,0
0,19
0,19
0,19
0,29
17,12
0,17
7,17
2,12
0,14
3,20
0,19
17,32
6,24
22,10
3,10
0,14
0,29
16,31
0,31
1,16
0,17
0,19
7,12
0,12
2,10
20,32
0,32
0,17
2,34
25,14
6,3
0,14
2,14
0,26
12,14
2,14
8,22
5,9
0,27
0,27
10,17
0,19
0,19
0,19
0,19
0,19
0,20
0,20
0,20
17,36
0,19
0,34
24,10
2,19
8,10
0,17
0,19
0,20
1,30
15,27
17,29
3,10
0,10
13,27
2,16
1,15
0,27
22,9
0,9
4,7
0,15
0,15
0,15
6,9
1,10
0,9
0,9
0,20
2,22
6,15
0,15
22,46
14,39
0,39
0,31
14,17
4,41
20,19
0,17
0,19
0,0
0,0
14,48
0,48
14,20
0,20
0,20
0,20
0,20
0,20
0,20
23,40
2,15
1,14
2,12
0,12
0,12
0,12
0,29
22,14
0,0
0,0
3,15
22,31
0,9
0,24
0,24
31,37
0,15
6,9
0,12
15,29
20,40
0,27
13,14
0,15
0,15
3,12
0,15
0,15
3,15
0,15
0,20
6,14
7,20
0,17
0,17
2,15
0,29
14,15
0,43
26,17
13,32
0,0
0,0
0,0
0,46
37,9
0,17
2,15
1,14
5,17
0,17
2,12
7,22
5,19
2,22
10,16
14,19
3,20
2,15
3,17
15,28
24,41
3,15
1,15
14,24
19,19
10,20
0,12
0,12
0,26
17,10
10,32
13,27
7,22
1,15
9,26
3,17
14,29
0,15
0,17
0,37
18,19
0,20
0,20
0,20
0,20
0,20
0,20
14,34
0,20
0,20
0,36
0,36
17,32
15,19
2,17
26,43
27,61
20,39
19,28
0,36
19,19
0,19
2,15
5,14
0,10
1,27
15,20
0,34
24,10
1,10
0,15
1,14
0,14
0,14
1,15
0,15
4,10
1,9
0,10
0,15
0,15
0,15
0,24
14,24
0,29
0,0
0,0
