Demand,Supply
0,12
2,10
0,10
0,10
0,14
0,14
0,14
0,14
0,14
0,14
0,14
2,14
2,10
2,10
6,8
0,8
6,6
0,6
0,2
0,2
0,4
4,2
0,0
0,0
0,0
0,2
0,2
0,4
4,0
0,0
0,0
0,0
0,4
4,0
0,0
2,2
0,4
0,4
0,6
2,4
2,4
0,4
0,14
0,20
0,22
2,20
4,16
2,14
0,16
0,16
0,20
0,22
0,22
0,22
0,22
2,24
0,22
0,22
0,22
0,24
2,22
0,22
6,18
12,10
0,10
0,12
4,10
2,12
6,4
0,12
0,12
4,12
0,12
2,18
2,18
2,14
4,12
4,8
0,6
0,14
0,16
4,20
0,20
8,10
0,10
4,6
6,6
0,6
0,8
0,10
8,2
0,4
0,4
2,2
0,6
0,6
0,12
0,12
2,10
0,18
0,20
0,20
0,20
0,20
0,0
0,0
0,20
2,20
4,14
0,14
0,18
4,14
10,6
4,10
2,10
4,12
2,8
4,10
0,8
4,14
4,6
6,6
4,6
0,8
0,8
2,14
0,12
0,12
2,14
2,10
8,12
0,4
0,4
4,2
0,2
2,4
0,4
2,2
2,4
0,4
2,2
0,8
0,14
0,14
2,12
4,8
0,12
0,12
2,14
0,18
0,20
0,20
0,20
0,20
0,20
2,20
4,18
8,18
4,6
6,6
2,2
0,4
0,6
0,8
2,14
2,12
6,10
6,6
0,2
2,6
0,10
2,10
0,10
0,14
0,14
4,12
0,14
0,14
10,4
0,4
6,6
0,4
0,4
0,4
4,6
2,0
0,0
0,6
2,14
6,6
0,8
0,10
2,12
2,8
0,8
0,14
0,0
0,0
0,18
0,18
0,18
0,18
0,18
2,20
0,18
4,18
4,12
0,10
0,12
0,14
14,8
0,0
0,0
0,2
0,14
8,8
0,8
4,2
6,10
4,6
0,6
0,12
0,12
2,10
0,14
4,10
4,6
2,4
2,2
0,6
6,4
0,2
0,0
2,0
2,2
0,2
0,4
0,12
0,12
0,14
0,16
2,16
0,16
0,16
0,16
2,14
2,16
0,20
2,18
0,0
0,0
0,0
0,0
2,16
2,14
8,8
0,10
0,14
0,14
2,14
6,12
6,6
0,2
2,8
6,2
2,2
0,6
2,6
4,10
2,10
8,10
0,2
4,6
2,6
2,4
0,6
0,0
0,0
0,12
0,12
6,6
6,4
6,6
2,6
4,8
0,8
0,10
2,8
0,8
0,14
2,14
2,12
0,12
0,14
0,16
0,16
0,18
0,18
0,18
2,16
0,16
2,14
0,14
2,16
0,14
2,14
2,10
0,14
0,14
6,12
0,12
2,6
2,4
2,4
0,2
0,4
2,2
0,2
0,2
2,0
0,0
2,6
0,6
0,6
0,6
2,4
4,2
0,0
0,0
0,0
0,6
0,10
0,14
0,14
0,0
0,0
