Demand,Supply
2,36
0,36
0,38
0,38
0,40
0,42
0,42
0,42
0,42
4,42
0,40
2,38
0,40
10,32
6,28
8,18
2,18
0,18
0,24
4,24
0,26
4,32
4,24
0,24
0,24
2,38
8,28
8,20
0,20
2,36
0,36
0,36
0,36
6,34
2,32
6,26
12,18
4,14
10,4
2,2
0,10
2,8
4,4
0,6
2,6
0,6
0,14
0,26
0,0
0,0
0,36
0,36
0,36
0,38
0,38
2,36
0,38
0,38
2,36
0,38
0,40
0,40
12,28
14,20
2,12
0,20
0,24
2,24
0,28
0,28
0,30
0,32
4,30
2,30
0,36
4,32
0,38
2,36
0,36
12,24
16,8
18,22
0,16
10,10
0,8
6,2
2,2
0,4
0,10
0,16
0,16
0,18
0,18
0,26
0,28
0,28
0,38
0,40
0,42
0,44
0,44
0,44
0,44
0,46
0,0
0,0
2,44
4,42
0,40
0,42
6,36
18,18
6,16
4,16
4,14
6,24
0,26
0,34
2,40
6,32
2,32
2,28
0,28
0,34
0,34
2,40
0,38
0,38
0,42
2,40
2,40
26,22
6,10
0,10
0,10
10,2
0,2
6,16
4,10
0,10
0,22
2,24
0,24
0,28
0,34
0,34
0,34
0,34
0,34
0,38
0,40
0,40
0,42
2,42
0,40
2,38
2,42
0,40
6,34
10,28
2,24
0,30
0,40
0,40
8,34
4,30
4,28
2,26
0,28
0,30
2,30
2,32
0,32
0,30
8,28
0,32
0,32
8,24
2,22
10,12
4,14
0,12
0,12
4,8
0,14
4,10
0,10
0,14
2,14
0,14
0,18
0,26
0,34
0,38
0,42
2,40
0,0
0,0
2,38
0,38
0,40
0,40
2,38
2,38
2,40
2,38
4,32
18,24
6,10
0,10
0,28
0,28
4,34
2,28
2,26
0,28
0,28
0,32
2,36
12,30
2,22
2,28
0,28
0,28
0,32
2,30
10,22
0,20
0,28
0,28
14,18
0,22
0,22
0,24
2,22
0,22
2,20
0,20
0,30
0,34
2,32
0,36
0,38
0,42
0,42
2,40
2,40
0,38
0,40
0,0
0,0
0,0
0,0
0,40
0,40
2,38
0,40
4,40
2,34
6,32
4,26
0,30
0,30
6,38
0,34
0,36
4,32
0,34
10,28
0,30
4,30
0,38
4,34
24,26
8,32
4,20
0,0
0,0
0,20
0,20
4,16
2,14
4,20
0,20
0,26
4,24
0,30
0,30
0,30
0,38
0,40
0,40
0,42
0,42
0,42
0,42
0,42
0,0
0,0
0,42
0,42
0,42
0,42
4,40
0,40
4,36
0,36
6,34
0,30
0,30
0,30
0,30
2,34
8,24
2,26
0,0
0,0
0,30
2,32
4,28
0,28
0,30
0,30
0,32
0,32
18,14
0,22
0,22
4,18
0,18
2,16
2,14
2,12
0,12
0,0
0,0
