Demand,Supply
0,16
0,18
0,18
0,34
32,36
16,36
0,20
0,20
0,36
16,20
0,20
16,36
2,20
2,30
12,28
24,4
4,2
0,2
2,8
4,12
0,14
2,12
2,16
0,14
14,32
0,36
14,32
16,20
0,26
16,18
10,28
4,30
16,12
0,26
14,16
0,18
0,32
18,20
8,18
6,16
6,14
8,8
2,6
0,14
4,12
0,12
0,14
10,26
0,30
0,30
12,30
0,30
14,32
0,20
0,20
2,18
14,34
0,38
18,38
18,38
18,38
2,18
0,18
10,14
4,6
0,14
0,14
6,8
0,30
14,18
0,34
16,18
2,18
2,16
24,40
2,22
8,14
4,14
2,12
2,24
12,24
2,26
0,26
14,14
2,16
0,20
14,16
8,8
2,6
0,10
2,12
0,14
8,24
4,14
4,10
0,16
4,12
8,22
10,24
0,30
12,18
0,18
0,18
0,18
0,30
0,30
14,30
14,32
0,18
2,18
0,28
0,28
22,10
8,2
0,2
2,8
0,12
0,14
2,22
10,14
12,24
4,14
14,26
0,20
0,20
8,16
0,16
16,34
18,30
16,20
6,36
24,28
0,32
40,28
0,28
24,8
0,18
10,28
0,22
2,22
2,18
16,34
2,32
14,18
14,34
0,34
12,36
0,24
0,24
0,24
40,64
0,44
40,44
0,44
42,44
20,42
0,24
18,40
0,34
24,32
0,20
10,10
18,24
0,20
18,6
0,8
10,26
0,18
6,12
6,10
16,24
12,40
12,16
16,32
2,18
0,16
18,38
0,38
0,38
18,20
18,26
0,22
4,20
8,28
6,30
2,34
18,16
14,28
6,14
10,24
0,26
8,18
10,30
0,36
18,18
0,42
18,62
0,44
36,44
0,44
18,44
0,26
0,26
0,26
0,26
0,26
0,26
8,24
16,28
6,20
10,30
0,30
20,16
0,16
0,30
24,40
0,34
0,34
16,22
10,28
14,30
12,24
0,18
0,24
18,40
18,38
2,20
0,20
4,16
2,22
0,30
14,18
0,34
18,16
12,28
0,28
10,26
2,16
0,18
0,18
12,32
0,38
16,22
18,44
18,42
0,24
0,24
0,42
18,24
0,24
0,44
0,44
18,26
2,24
18,60
22,60
22,34
18,16
0,16
0,18
4,20
0,20
0,22
4,22
0,20
0,22
14,34
0,20
0,20
0,24
4,20
0,20
2,24
2,20
2,20
0,38
8,30
14,30
14,50
16,40
20,20
6,20
16,30
0,18
10,32
0,22
0,24
0,24
6,30
0,26
18,44
0,46
0,46
20,26
0,26
0,26
0,26
0,26
0,46
20,26
0,26
20,46
0,26
2,24
16,40
0,24
0,24
4,24
18,38
0,22
0,22
0,36
20,18
18,36
20,38
2,16
0,22
0,22
0,24
2,24
0,22
4,20
0,22
4,22
0,26
14,18
6,20
10,10
16,54
0,40
18,22
14,32
4,22
8,24
0,24
2,22
