Demand,Supply
0,16
0,16
0,16
0,16
0,16
0,18
0,18
0,18
0,18
0,18
0,18
0,18
0,18
0,18
0,18
0,18
8,16
0,16
0,14
0,14
0,14
0,16
0,16
2,16
2,12
0,14
0,14
0,14
0,14
4,14
0,12
0,12
2,10
2,14
0,14
6,16
4,6
6,6
0,12
2,14
0,14
10,4
0,6
0,6
0,8
0,8
0,8
0,16
0,0
0,0
0,18
0,18
0,18
0,18
0,18
0,18
0,18
0,18
0,18
0,18
0,18
0,18
2,18
4,16
2,10
6,4
0,4
0,8
4,8
2,6
0,10
0,10
2,10
2,12
2,12
0,12
0,14
0,14
0,16
0,16
2,14
0,14
0,14
0,16
2,16
2,12
4,8
6,2
2,4
0,2
2,0
0,0
0,0
0,4
0,8
0,8
0,14
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,0
0,0
0,16
0,16
0,16
0,16
0,16
0,16
4,14
2,12
2,10
0,8
0,8
0,10
0,10
0,10
0,14
2,14
0,14
2,10
0,12
0,14
0,14
0,14
2,12
2,10
0,12
0,12
2,10
2,8
0,8
0,8
0,8
0,8
0,8
0,8
0,12
2,12
0,14
0,14
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
2,14
4,12
0,10
2,10
2,10
0,10
0,12
0,12
0,12
0,14
0,14
2,14
0,12
0,12
0,12
0,16
0,16
2,16
0,14
0,14
0,16
2,14
0,14
0,14
0,14
10,4
0,6
0,6
2,4
0,6
0,12
0,12
0,12
0,14
0,14
2,14
0,12
0,14
0,0
0,0
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
2,14
0,14
4,10
0,10
2,8
0,8
4,10
0,8
0,10
0,14
0,14
0,14
0,14
0,14
2,16
0,16
0,16
0,16
0,16
0,16
0,16
0,18
6,12
2,10
0,12
2,10
0,10
2,8
2,12
0,12
2,8
0,8
0,12
0,12
2,16
0,16
0,18
0,18
0,18
0,18
0,18
0,18
0,18
0,0
0,0
0,0
0,0
0,18
0,18
0,18
0,18
0,18
0,18
2,16
6,16
0,10
0,10
2,10
0,12
0,12
4,10
0,10
4,8
0,12
0,12
0,12
0,12
2,10
0,10
0,0
0,0
0,0
0,14
2,12
2,10
0,14
0,14
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
2,16
0,14
0,14
0,14
2,14
0,14
2,10
0,14
4,10
0,14
2,12
0,14
2,12
0,12
0,16
0,16
0,16
0,16
4,14
2,10
0,10
0,10
0,12
0,14
0,14
4,14
0,14
0,10
0,10
2,8
0,8
0,10
0,0
