Demand,Supply
2,6
6,6
0,6
0,6
0,16
0,18
0,22
0,26
0,26
2,26
0,24
0,24
4,20
0,20
8,18
6,6
4,4
0,4
2,2
0,10
0,22
4,20
2,18
6,10
6,4
4,2
2,0
0,0
0,6
6,10
0,10
0,10
2,8
0,14
4,14
2,8
6,4
2,0
0,0
0,2
2,2
0,0
0,0
0,0
0,0
0,0
0,6
0,10
0,0
0,0
4,6
0,6
0,6
0,12
0,22
0,22
0,22
0,22
0,22
0,24
0,24
6,18
4,16
6,12
4,4
4,4
6,14
4,8
0,12
4,12
8,12
0,2
2,10
6,6
0,4
0,4
2,16
2,12
8,4
0,4
0,14
6,20
0,14
10,6
2,6
4,6
0,2
0,2
2,6
0,6
0,6
0,10
0,10
2,16
4,12
0,12
0,14
4,10
2,16
0,18
2,22
0,28
2,28
0,30
0,0
0,0
2,28
0,28
0,28
4,28
2,22
8,14
10,8
4,6
0,10
0,18
2,18
2,14
4,10
0,12
0,14
2,14
0,14
0,20
0,20
4,20
2,18
2,16
4,12
2,10
2,12
2,10
2,6
6,4
0,4
0,4
0,10
4,8
4,6
0,0
0,0
4,20
10,10
2,4
0,4
0,4
2,8
0,6
0,16
0,18
0,24
0,24
0,24
0,26
0,26
2,24
2,26
2,24
8,14
8,10
6,0
0,0
0,2
0,2
0,14
0,18
10,10
6,12
0,12
6,4
6,12
2,4
0,10
0,22
6,18
4,16
2,10
0,10
0,24
22,2
2,0
0,0
0,0
2,2
0,0
0,0
0,0
0,0
0,0
0,0
0,4
0,8
2,6
2,8
0,8
0,16
0,0
0,0
0,24
0,24
0,32
2,30
2,28
0,28
0,30
4,28
0,28
6,22
10,20
0,20
0,20
0,20
4,18
4,14
0,14
10,6
0,0
6,0
6,16
2,10
4,12
4,12
0,16
0,20
2,18
2,16
6,12
4,6
2,8
6,8
0,2
2,0
0,0
0,2
0,4
0,4
2,2
0,2
0,8
2,6
6,6
0,2
0,4
0,10
4,10
0,14
2,12
0,16
0,22
0,0
0,0
0,0
0,0
4,18
0,18
0,20
0,24
0,24
2,22
16,6
0,12
2,20
0,20
8,18
6,16
0,10
0,16
8,10
8,4
0,4
0,2
0,8
6,16
0,12
4,8
4,4
0,0
0,0
4,12
2,6
2,6
4,6
2,10
8,2
2,6
0,10
0,10
0,16
0,16
0,18
4,20
0,18
0,22
0,22
0,24
0,24
2,22
0,22
0,22
2,20
0,20
6,16
0,16
2,18
0,18
0,22
2,20
6,22
2,14
6,8
0,8
0,8
6,4
0,8
2,6
0,8
0,8
2,8
0,10
0,10
8,2
2,0
0,0
2,4
0,4
0,4
6,6
0,6
2,4
0,0
2,0
0,0
0,6
0,6
0,18
0,0
