Demand,Supply
0,20
0,26
0,26
0,28
2,26
0,28
0,30
0,32
0,32
2,30
0,30
0,30
0,30
2,30
8,22
0,20
2,20
0,20
0,22
0,30
4,26
6,26
0,20
2,20
0,20
2,24
0,26
2,24
0,28
2,28
2,26
0,24
0,24
4,20
2,22
6,16
2,12
8,4
2,12
8,4
0,4
0,12
0,16
2,16
0,18
0,18
0,26
0,30
0,0
0,0
0,30
0,30
0,30
0,30
0,30
0,30
0,32
0,32
0,32
0,32
0,32
0,32
6,28
8,20
0,18
0,22
0,26
2,26
0,26
0,30
2,28
0,30
0,30
4,28
0,28
0,28
2,30
0,28
0,28
0,30
2,30
4,28
0,24
10,18
4,16
2,10
0,16
12,8
0,8
0,12
0,12
0,18
0,18
6,14
2,18
0,18
0,18
0,24
0,26
0,26
0,28
0,32
0,32
0,32
0,0
0,0
0,32
0,32
2,32
0,30
0,32
2,30
10,24
2,18
2,22
4,20
2,18
0,20
0,24
0,30
2,28
2,26
0,26
2,24
0,26
0,28
2,26
2,24
0,26
4,26
8,14
12,2
0,8
0,10
0,10
0,14
0,16
0,16
0,18
0,0
0,0
2,18
2,24
0,24
2,24
0,24
0,26
0,26
2,30
0,32
2,32
0,32
0,32
0,32
0,32
0,32
0,32
2,30
2,28
12,20
2,14
0,24
2,22
2,20
6,18
2,14
0,18
4,22
0,18
0,22
2,24
2,20
0,24
4,22
0,20
0,22
0,22
0,22
0,22
0,22
14,10
2,6
0,6
6,4
0,14
0,16
4,12
2,10
0,16
0,20
0,20
0,24
0,24
0,26
0,26
0,26
0,0
0,0
0,30
0,30
0,30
0,30
0,30
0,30
2,30
4,26
2,22
0,22
6,22
2,14
0,18
0,18
2,18
0,18
0,20
2,18
0,18
0,22
2,24
4,18
0,26
2,28
0,28
4,22
2,24
4,18
2,18
2,16
0,0
0,0
8,12
4,4
0,4
0,12
0,12
0,12
0,12
0,12
0,24
0,24
0,24
2,22
0,24
0,24
0,28
0,28
4,26
0,24
2,22
0,0
0,0
0,0
0,0
0,26
0,26
2,28
0,26
2,26
0,26
0,24
2,24
0,26
0,26
4,22
2,20
2,18
2,16
0,20
4,26
2,26
2,24
2,22
0,22
0,22
0,22
4,18
0,0
0,0
8,10
0,10
0,18
0,20
4,18
0,16
2,16
0,18
0,18
2,20
0,24
0,26
0,26
2,26
0,26
0,28
0,28
2,26
0,28
0,28
0,28
2,26
0,26
0,28
2,26
2,26
2,22
0,24
2,24
2,26
0,24
0,24
0,24
0,26
2,26
2,22
2,20
0,22
0,22
4,20
0,20
0,22
0,22
4,18
0,18
2,18
0,22
0,22
0,22
2,20
2,18
0,18
0,20
4,16
2,20
0,20
0,24
0,0
