Demand,Supply
10,6
10,6
10,6
10,6
6,10
6,10
4,12
4,12
0,16
0,16
0,16
0,16
2,14
2,14
2,14
4,12
2,14
2,14
8,8
8,8
2,14
2,14
2,14
16,0
16,0
4,12
2,14
6,10
4,12
4,12
4,12
16,0
16,0
4,12
2,14
4,12
8,8
8,8
10,6
8,8
6,10
4,12
6,10
6,10
6,10
4,12
4,12
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
2,14
2,14
0,16
0,16
0,16
2,14
6,10
4,12
8,8
6,10
0,16
0,16
2,14
2,14
0,16
0,16
0,16
0,16
0,16
0,16
2,14
4,12
8,8
6,10
4,12
2,14
8,8
8,8
8,8
4,12
10,6
12,4
10,6
10,6
10,6
10,6
8,8
10,6
10,6
4,12
6,10
6,10
2,14
2,14
2,14
0,16
0,16
16,0
16,0
0,16
0,16
0,16
2,14
2,14
6,10
6,10
6,10
2,14
4,12
2,14
0,16
0,16
0,16
2,14
2,14
2,14
2,14
2,14
2,14
0,16
0,16
0,16
0,16
0,16
4,12
4,12
2,14
2,14
0,16
4,12
6,10
4,12
4,12
6,10
4,12
6,10
6,10
4,12
2,14
0,16
0,16
0,16
0,16
0,16
0,16
0,16
2,14
2,14
2,14
2,14
2,14
8,8
6,10
8,8
0,16
0,16
0,16
4,12
6,10
6,10
2,14
4,12
2,14
4,12
2,14
2,14
2,14
4,12
2,14
2,14
2,14
2,14
2,14
4,12
4,12
4,12
8,8
10,6
8,8
4,12
2,14
4,12
4,12
4,12
2,14
2,14
0,16
0,16
0,16
16,0
16,0
0,16
0,16
4,12
4,12
2,14
0,16
0,16
6,10
0,16
0,16
0,16
6,10
6,10
6,10
6,10
4,12
2,14
4,12
4,12
4,12
2,14
4,12
4,12
4,12
4,12
2,14
2,14
0,16
0,16
2,14
6,10
6,10
10,6
4,12
4,12
6,10
6,10
8,8
4,12
4,12
4,12
6,10
4,12
6,10
2,14
2,14
2,14
0,16
0,16
0,16
0,16
16,0
16,0
16,0
16,0
4,12
4,12
6,10
4,12
2,14
2,14
6,10
6,10
6,10
6,10
0,16
4,12
6,10
6,10
4,12
4,12
2,14
4,12
2,14
2,14
4,12
2,14
2,14
16,0
16,0
6,10
6,10
8,8
4,12
6,10
6,10
4,12
6,10
4,12
2,14
2,14
2,14
2,14
0,16
0,16
0,16
2,14
2,14
2,14
0,16
0,16
0,16
0,16
2,14
2,14
2,14
4,12
6,10
4,12
2,14
4,12
2,14
2,14
6,10
6,10
4,12
2,14
16,0
16,0
6,10
6,10
8,8
10,6
12,4
12,4
14,2
14,2
6,10
8,8
8,8
4,12
4,12
10,6
12,4
8,8
6,10
16,0
16,0
