Demand,Supply
12,6
12,6
12,6
12,6
12,6
12,6
8,10
8,10
8,10
8,10
8,10
8,10
8,10
8,10
8,10
8,10
10,8
10,8
10,8
8,10
10,8
10,8
10,8
10,8
10,8
12,6
10,8
10,8
10,8
8,10
8,10
8,10
8,10
10,8
10,8
14,4
14,4
14,4
12,6
14,4
16,2
16,2
14,4
14,4
12,6
12,6
10,8
10,8
18,0
18,0
8,10
8,10
8,10
8,10
8,10
8,10
8,10
8,10
8,10
10,8
10,8
10,8
12,6
12,6
14,4
12,6
10,8
10,8
8,10
8,10
8,10
8,10
8,10
8,10
8,10
10,8
8,10
8,10
8,10
10,8
12,6
10,8
10,8
12,6
12,6
12,6
8,10
8,10
10,8
12,6
12,6
12,6
12,6
14,4
12,6
12,6
12,6
10,8
10,8
10,8
10,8
10,8
10,8
10,8
18,0
18,0
10,8
10,8
10,8
10,8
10,8
10,8
10,8
10,8
14,4
12,6
10,8
10,8
10,8
10,8
10,8
10,8
10,8
8,10
8,10
8,10
8,10
8,10
8,10
10,8
10,8
16,2
16,2
16,2
16,2
14,4
12,6
14,4
16,2
18,0
18,0
16,2
14,4
10,8
10,8
10,8
8,10
8,10
8,10
8,10
8,10
8,10
10,8
10,8
10,8
10,8
10,8
12,6
12,6
12,6
12,6
12,6
10,8
10,8
10,8
10,8
10,8
10,8
10,8
12,6
12,6
12,6
10,8
10,8
10,8
10,8
10,8
10,8
10,8
14,4
14,4
12,6
12,6
10,8
12,6
12,6
10,8
8,10
8,10
6,12
6,12
8,10
8,10
8,10
8,10
8,10
18,0
18,0
10,8
10,8
8,10
8,10
8,10
8,10
8,10
8,10
8,10
8,10
8,10
8,10
10,8
10,8
10,8
10,8
8,10
8,10
8,10
8,10
6,12
6,12
8,10
8,10
8,10
8,10
8,10
8,10
8,10
10,8
12,6
12,6
12,6
12,6
18,0
18,0
14,4
14,4
12,6
12,6
10,8
10,8
10,8
10,8
10,8
10,8
10,8
10,8
10,8
10,8
10,8
18,0
18,0
18,0
18,0
10,8
10,8
10,8
10,8
10,8
10,8
10,8
10,8
10,8
10,8
10,8
10,8
10,8
10,8
10,8
10,8
12,6
12,6
10,8
10,8
8,10
8,10
18,0
18,0
18,0
10,8
10,8
12,6
14,4
14,4
18,0
18,0
16,2
16,2
12,6
14,4
12,6
10,8
8,10
8,10
10,8
10,8
10,8
10,8
10,8
10,8
10,8
10,8
12,6
12,6
12,6
10,8
12,6
10,8
12,6
12,6
10,8
10,8
10,8
8,10
10,8
12,6
12,6
12,6
12,6
12,6
12,6
12,6
10,8
10,8
14,4
14,4
14,4
14,4
14,4
14,4
14,4
10,8
12,6
12,6
12,6
12,6
18,0
