Demand,Supply
8,20
10,18
8,20
8,20
8,20
8,20
6,22
6,22
6,22
6,22
6,22
6,22
8,20
8,20
6,22
12,16
18,10
18,10
18,10
18,10
12,16
10,18
10,18
12,16
12,16
10,18
8,20
6,22
6,22
4,24
8,20
8,20
14,14
14,14
12,16
16,12
20,8
20,8
18,10
20,8
22,6
20,8
20,8
20,8
24,4
22,6
16,12
14,14
12,16
12,16
8,20
8,20
8,20
8,20
8,20
8,20
10,18
10,18
10,18
10,18
12,16
12,16
8,20
24,4
28,0
28,0
24,4
20,8
16,12
8,20
8,20
8,20
10,18
10,18
12,16
14,14
12,16
12,16
6,22
10,18
12,16
8,20
8,20
20,8
22,6
18,10
18,10
16,12
8,20
18,10
14,14
12,16
12,16
6,22
6,22
6,22
6,22
4,24
4,24
4,24
4,24
4,24
4,24
4,24
28,0
28,0
4,24
4,24
4,24
4,24
8,20
18,10
16,12
14,14
22,6
16,12
12,16
8,20
12,16
16,12
10,18
-12,40
-12,40
4,24
4,24
4,24
0,28
8,20
8,20
6,22
10,18
16,12
16,12
10,18
14,14
12,16
10,18
8,20
10,18
28,0
28,0
4,24
6,22
6,22
6,22
6,22
2,26
2,26
0,28
0,28
0,28
0,28
0,28
0,28
0,28
0,28
0,28
2,26
8,20
16,12
16,12
16,12
16,12
20,8
14,14
10,18
8,20
8,20
8,20
8,20
8,20
4,24
4,24
8,20
12,16
10,18
12,16
12,16
8,20
10,18
12,16
12,16
12,16
12,16
14,14
14,14
18,10
20,8
16,12
20,8
20,8
10,18
6,22
6,22
6,22
4,24
28,0
28,0
2,26
2,26
2,26
2,26
2,26
2,26
2,26
2,26
4,24
10,18
14,14
18,10
24,4
24,4
20,8
18,10
8,20
8,20
8,20
4,24
4,24
6,22
4,24
6,22
8,20
6,22
6,22
12,16
12,16
12,16
10,18
18,10
20,8
18,10
18,10
20,8
14,14
14,14
10,18
10,18
6,22
6,22
4,24
8,20
8,20
8,20
4,24
2,26
2,26
2,26
2,26
28,0
28,0
28,0
28,0
6,22
16,12
14,14
8,20
6,22
6,22
6,22
6,22
6,22
6,22
8,20
12,16
14,14
12,16
10,18
6,22
6,22
6,22
8,20
8,20
10,18
8,20
28,0
28,0
28,0
10,18
10,18
18,10
18,10
18,10
16,12
10,18
8,20
12,16
12,16
8,20
6,22
6,22
4,24
4,24
4,24
2,26
2,26
2,26
2,26
2,26
8,20
8,20
8,20
8,20
8,20
12,16
12,16
12,16
12,16
12,16
14,14
14,14
14,14
10,18
12,16
14,14
16,12
16,12
10,18
10,18
4,24
4,24
4,24
4,24
8,20
8,20
10,18
10,18
12,16
12,16
12,16
18,10
16,12
16,12
14,14
6,22
28,0
