Demand,Supply
10,8
12,6
12,6
10,8
10,8
8,10
8,10
18,0
18,0
4,14
4,14
18,0
18,0
2,16
2,16
2,16
6,12
6,12
4,14
4,14
4,14
4,14
4,14
12,6
16,2
16,2
16,2
12,6
4,14
10,8
12,6
12,6
12,6
12,6
12,6
10,8
4,14
6,12
6,12
2,16
2,16
8,10
10,8
14,4
10,8
12,6
18,0
18,0
16,2
16,2
14,4
10,8
12,6
12,6
12,6
12,6
10,8
10,8
10,8
10,8
10,8
16,2
10,8
12,6
10,8
4,14
2,16
0,18
0,18
0,18
0,18
18,0
18,0
0,18
2,16
2,16
2,16
8,10
8,10
14,4
12,6
8,10
6,12
8,10
16,2
12,6
16,2
16,2
16,2
16,2
16,2
16,2
8,10
8,10
12,6
10,8
8,10
8,10
8,10
4,14
2,16
8,10
18,0
18,0
18,0
12,6
16,2
12,6
12,6
14,4
18,0
18,0
14,4
12,6
12,6
10,8
18,0
18,0
6,12
10,8
8,10
8,10
2,16
2,16
2,16
4,14
4,14
4,14
6,12
4,14
6,12
6,12
6,12
8,10
12,6
10,8
10,8
10,8
12,6
16,2
12,6
6,12
8,10
10,8
12,6
6,12
6,12
6,12
10,8
10,8
8,10
18,0
18,0
16,2
18,0
18,0
18,0
18,0
16,2
16,2
12,6
14,4
14,4
18,0
18,0
18,0
18,0
8,10
10,8
6,12
10,8
10,8
12,6
8,10
18,0
18,0
18,0
2,16
2,16
0,18
0,18
0,18
0,18
2,16
2,16
0,18
0,18
2,16
10,8
10,8
12,6
10,8
6,12
8,10
8,10
14,4
18,0
18,0
16,2
8,10
4,14
6,12
12,6
12,6
12,6
16,2
14,4
18,0
18,0
18,0
16,2
18,0
18,0
18,0
18,0
18,0
18,0
4,14
2,16
2,16
6,12
6,12
8,10
6,12
8,10
10,8
10,8
10,8
12,6
10,8
8,10
6,12
4,14
4,14
6,12
18,0
18,0
18,0
18,0
4,14
4,14
10,8
10,8
10,8
14,4
12,6
10,8
10,8
14,4
12,6
14,4
12,6
8,10
10,8
18,0
18,0
12,6
8,10
12,6
14,4
16,2
16,2
16,2
10,8
18,0
18,0
18,0
8,10
6,12
6,12
14,4
10,8
10,8
10,8
14,4
12,6
10,8
8,10
18,0
18,0
8,10
8,10
6,12
6,12
4,14
4,14
4,14
4,14
4,14
18,0
18,0
4,14
4,14
6,12
6,12
8,10
10,8
12,6
8,10
10,8
12,6
14,4
18,0
18,0
10,8
10,8
10,8
10,8
10,8
16,2
16,2
10,8
8,10
10,8
10,8
14,4
14,4
14,4
10,8
10,8
16,2
18,0
18,0
18,0
18,0
18,0
14,4
14,4
14,4
16,2
18,0
18,0
18,0
18,0
6,12
18,0
