Demand,Supply
6,24
6,24
10,20
6,24
6,24
6,24
6,24
6,24
6,24
6,24
4,26
6,24
6,24
6,24
10,20
10,20
18,12
20,10
16,14
12,18
12,18
10,20
8,22
8,22
10,20
8,22
8,22
6,24
8,22
8,22
8,22
6,24
4,26
4,26
6,24
8,22
8,22
22,8
22,8
22,8
20,10
16,14
14,16
10,20
8,22
8,22
8,22
10,20
10,20
6,24
6,24
4,26
6,24
4,26
4,26
4,26
4,26
4,26
4,26
4,26
4,26
6,24
8,22
12,18
14,16
18,12
14,16
14,16
10,20
10,20
8,22
6,24
6,24
6,24
6,24
4,26
6,24
6,24
6,24
6,24
4,26
4,26
4,26
16,14
24,6
22,8
16,14
12,18
14,16
14,16
12,18
12,18
10,20
14,16
10,20
10,20
10,20
10,20
10,20
12,18
10,20
10,20
8,22
10,20
30,0
30,0
8,22
8,22
8,22
8,22
8,22
22,8
20,10
22,8
20,10
18,12
12,18
12,18
12,18
10,20
6,24
10,20
18,12
12,18
12,18
8,22
6,24
6,24
8,22
6,24
6,24
12,18
18,12
16,14
20,10
22,8
22,8
20,10
18,12
16,14
12,18
10,20
12,18
10,20
10,20
8,22
6,24
6,24
8,22
8,22
8,22
8,22
8,22
8,22
6,24
6,24
8,22
8,22
10,20
12,18
10,20
10,20
10,20
6,24
6,24
6,24
6,24
10,20
10,20
12,18
12,18
10,20
8,22
12,18
8,22
14,16
18,12
18,12
12,18
12,18
22,8
28,2
28,2
22,8
24,6
22,8
18,12
18,12
14,16
8,22
8,22
14,16
10,20
8,22
8,22
8,22
6,24
6,24
10,20
12,18
10,20
8,22
6,24
6,24
6,24
6,24
8,22
10,20
14,16
18,12
18,12
18,12
14,16
12,18
12,18
8,22
8,22
6,24
6,24
6,24
8,22
8,22
8,22
8,22
8,22
8,22
10,20
12,18
22,8
18,12
12,18
12,18
12,18
16,14
16,14
16,14
12,18
12,18
8,22
8,22
10,20
10,20
8,22
10,20
8,22
10,20
10,20
10,20
10,20
10,20
8,22
8,22
6,24
6,24
6,24
8,22
6,24
4,26
4,26
10,20
10,20
12,18
12,18
12,18
10,20
12,18
10,20
12,18
8,22
10,20
14,16
16,14
12,18
10,20
10,20
10,20
10,20
10,20
8,22
6,24
12,18
12,18
10,20
8,22
8,22
6,24
8,22
8,22
8,22
6,24
4,26
4,26
4,26
4,26
4,26
4,26
4,26
4,26
4,26
2,28
2,28
2,28
2,28
2,28
6,24
6,24
8,22
14,16
10,20
8,22
8,22
8,22
6,24
4,26
8,22
8,22
10,20
10,20
8,22
6,24
10,20
10,20
8,22
8,22
12,18
14,16
14,16
12,18
6,24
6,24
8,22
8,22
8,22
8,22
8,22
6,24
