Demand,Supply
28,22
28,22
26,24
26,24
16,34
12,38
12,38
12,38
12,38
12,38
12,38
16,34
14,36
16,34
18,32
18,32
20,30
20,30
30,20
32,18
30,20
30,20
28,22
26,24
30,20
28,22
36,14
24,26
22,28
18,32
22,28
22,28
20,30
20,30
22,28
32,18
44,6
46,4
40,10
46,4
48,2
48,2
42,8
36,14
44,6
44,6
36,14
38,12
36,14
36,14
22,28
18,32
18,32
18,32
18,32
18,32
18,32
18,32
18,32
20,30
18,32
22,28
22,28
20,30
24,26
42,8
34,16
32,18
26,24
20,30
20,30
22,28
36,14
30,20
30,20
34,16
38,12
38,12
28,22
22,28
20,30
20,30
20,30
26,24
30,20
36,14
32,18
38,12
40,10
40,10
32,18
30,20
30,20
20,30
16,34
16,34
24,26
14,36
12,38
10,40
8,42
6,44
6,44
4,46
50,0
50,0
6,44
6,44
6,44
4,46
6,44
12,38
22,28
24,26
20,30
18,32
16,34
8,42
10,40
24,26
26,24
24,26
26,24
34,16
34,16
22,28
16,34
16,34
8,42
12,38
14,36
14,36
22,28
30,20
30,20
34,16
36,14
34,16
28,22
28,22
18,32
16,34
12,38
20,30
20,30
16,34
14,36
14,36
8,42
6,44
6,44
4,46
4,46
4,46
4,46
4,46
4,46
6,44
14,36
16,34
14,36
16,34
20,30
22,28
16,34
14,36
12,38
12,38
12,38
42,8
32,18
18,32
24,26
32,18
28,22
22,28
14,36
14,36
22,28
22,28
28,22
28,22
28,22
28,22
28,22
36,14
36,14
38,12
30,20
30,20
28,22
18,32
16,34
12,38
12,38
6,44
50,0
50,0
4,46
4,46
4,46
4,46
4,46
4,46
4,46
6,44
8,42
8,42
14,36
14,36
16,34
16,34
16,34
16,34
18,32
30,20
30,20
30,20
22,28
22,28
24,26
22,28
20,30
18,32
14,36
12,38
20,30
24,26
34,16
34,16
24,26
26,24
26,24
40,10
30,20
30,20
36,14
36,14
26,24
28,22
22,28
20,30
14,36
8,42
10,40
10,40
10,40
10,40
6,44
50,0
50,0
50,0
50,0
6,44
8,42
6,44
8,42
10,40
10,40
14,36
14,36
14,36
14,36
28,22
26,24
34,16
30,20
22,28
22,28
18,32
18,32
16,34
16,34
12,38
12,38
18,32
50,0
50,0
22,28
22,28
20,30
18,32
22,28
24,26
22,28
18,32
16,34
14,36
12,38
12,38
12,38
10,40
10,40
8,42
10,40
6,44
6,44
6,44
6,44
6,44
6,44
8,42
8,42
8,42
8,42
6,44
6,44
8,42
12,38
18,32
14,36
12,38
14,36
12,38
16,34
16,34
16,34
22,28
16,34
12,38
12,38
14,36
14,36
20,30
20,30
32,18
30,20
40,10
32,18
32,18
20,30
22,28
24,26
24,26
18,32
50,0
