Demand,Supply
8,24
8,24
10,22
10,22
12,20
14,18
14,18
12,20
8,24
8,24
8,24
6,26
8,24
6,26
6,26
12,20
12,20
12,20
12,20
12,20
20,12
18,14
10,22
10,22
12,20
12,20
12,20
12,20
22,10
20,12
12,20
12,20
6,26
10,22
12,20
16,16
20,12
20,12
24,8
20,12
24,8
12,20
18,14
16,16
18,14
18,14
20,12
18,14
32,0
32,0
8,24
8,24
8,24
10,22
6,26
6,26
6,26
6,26
6,26
10,22
8,24
10,22
8,24
12,20
14,18
12,20
12,20
12,20
12,20
14,18
14,18
12,20
14,18
16,16
16,16
12,20
6,26
6,26
6,26
6,26
8,24
6,26
6,26
8,24
8,24
12,20
22,10
20,12
22,10
16,16
14,18
14,18
14,18
20,12
12,20
12,20
16,16
16,16
12,20
8,24
2,30
2,30
4,28
4,28
32,0
32,0
2,30
2,30
2,30
2,30
4,28
4,28
6,26
10,22
10,22
4,28
4,28
8,24
8,24
8,24
6,26
8,24
8,24
8,24
8,24
6,26
8,24
10,22
10,22
10,22
10,22
16,16
22,10
20,12
20,12
14,18
22,10
24,8
20,12
20,12
18,14
14,18
12,20
10,22
8,24
8,24
6,26
6,26
6,26
10,22
8,24
6,26
2,30
2,30
2,30
0,32
4,28
6,26
4,28
8,24
10,22
8,24
12,20
12,20
4,28
4,28
12,20
8,24
8,24
20,12
20,12
28,4
26,6
14,18
10,22
10,22
8,24
8,24
8,24
24,8
24,8
24,8
24,8
22,10
24,8
18,14
18,14
14,18
16,16
18,14
20,12
18,14
10,22
6,26
6,26
4,28
32,0
32,0
6,26
6,26
0,32
0,32
0,32
0,32
0,32
0,32
0,32
6,26
6,26
6,26
8,24
8,24
6,26
6,26
6,26
8,24
8,24
12,20
14,18
18,14
16,16
12,20
14,18
12,20
8,24
4,28
4,28
12,20
14,18
14,18
16,16
12,20
12,20
12,20
10,22
10,22
8,24
8,24
8,24
6,26
6,26
4,28
4,28
8,24
6,26
8,24
6,26
4,28
4,28
32,0
32,0
32,0
32,0
4,28
4,28
6,26
8,24
6,26
6,26
4,28
4,28
8,24
8,24
8,24
14,18
12,20
12,20
10,22
4,28
4,28
8,24
10,22
10,22
12,20
14,18
14,18
32,0
32,0
18,14
22,10
20,12
16,16
12,20
12,20
14,18
10,22
10,22
12,20
8,24
8,24
8,24
8,24
8,24
4,28
4,28
6,26
6,26
6,26
6,26
6,26
6,26
6,26
6,26
4,28
4,28
6,26
6,26
6,26
8,24
10,22
6,26
10,22
10,22
10,22
10,22
10,22
10,22
12,20
8,24
32,0
32,0
12,20
12,20
8,24
8,24
8,24
10,22
10,22
10,22
10,22
22,10
22,10
26,6
26,6
22,10
32,0
