Demand,Supply
10,30
12,28
12,28
10,30
8,32
6,34
6,34
6,34
6,34
6,34
6,34
6,34
6,34
12,28
18,22
16,24
22,18
22,18
32,8
24,16
24,16
16,24
24,16
22,18
16,24
14,26
18,22
26,14
30,10
20,20
18,22
18,22
24,16
20,20
16,24
20,20
28,12
36,4
36,4
38,2
36,4
36,4
36,4
36,4
34,6
32,8
20,20
14,26
40,0
40,0
8,32
6,34
6,34
4,36
4,36
4,36
4,36
4,36
4,36
4,36
4,36
8,32
8,32
16,24
28,12
30,10
26,14
22,18
16,24
10,30
14,26
12,28
16,24
22,18
26,14
28,12
28,12
30,10
28,12
30,10
18,22
12,28
12,28
16,24
22,18
32,8
32,8
34,6
34,6
32,8
32,8
34,6
34,6
24,16
16,24
16,24
12,28
2,38
4,36
2,38
0,40
0,40
2,38
2,38
40,0
40,0
2,38
2,38
4,36
8,32
22,18
26,14
32,8
34,6
36,4
34,6
28,12
18,22
14,26
16,24
14,26
10,30
14,26
16,24
14,26
10,30
18,22
22,18
18,22
14,26
14,26
18,22
22,18
32,8
34,6
36,4
26,14
26,14
32,8
40,0
40,0
24,16
18,22
18,22
18,22
18,22
10,30
8,32
8,32
8,32
10,30
10,30
8,32
8,32
8,32
10,30
12,28
16,24
24,16
32,8
34,6
30,10
28,12
38,2
24,16
20,20
18,22
16,24
16,24
26,14
20,20
18,22
18,22
18,22
24,16
28,12
26,14
26,14
24,16
24,16
24,16
36,4
36,4
38,2
38,2
38,2
38,2
28,12
34,6
34,6
30,10
28,12
16,24
12,28
12,28
12,28
40,0
40,0
8,32
8,32
8,32
8,32
8,32
8,32
10,30
10,30
12,28
16,24
30,10
36,4
32,8
24,16
20,20
20,20
20,20
20,20
20,20
34,6
22,18
24,16
22,18
22,18
22,18
18,22
20,20
24,16
30,10
32,8
28,12
28,12
36,4
36,4
36,4
32,8
34,6
34,6
32,8
32,8
30,10
32,8
28,12
24,16
20,20
18,22
10,30
10,30
10,30
10,30
10,30
40,0
40,0
40,0
40,0
12,28
12,28
16,24
24,16
24,16
24,16
20,20
20,20
26,14
28,12
18,22
28,12
30,10
24,16
22,18
22,18
24,16
30,10
26,14
30,10
28,12
22,18
24,16
40,0
40,0
26,14
32,8
22,18
24,16
22,18
24,16
22,18
20,20
20,20
20,20
18,22
14,26
12,28
14,26
14,26
14,26
14,26
14,26
12,28
12,28
12,28
14,26
14,26
16,24
16,24
18,22
22,18
26,14
26,14
26,14
28,12
24,16
18,22
26,14
24,16
28,12
28,12
32,8
32,8
26,14
30,10
40,0
40,0
24,16
32,8
32,8
40,0
40,0
36,4
38,2
32,8
32,8
28,12
28,12
30,10
30,10
30,10
40,0
