Demand,Supply
16,10
14,12
14,12
14,12
12,14
10,16
10,16
10,16
12,14
10,16
10,16
10,16
10,16
10,16
10,16
18,8
24,2
24,2
16,10
12,14
18,8
14,12
16,10
16,10
16,10
20,6
22,4
18,8
16,10
14,12
14,12
12,14
12,14
16,10
16,10
12,14
22,4
26,0
26,0
26,0
26,0
24,2
16,10
14,12
20,6
20,6
22,4
22,4
26,0
26,0
14,12
14,12
14,12
14,12
14,12
12,14
12,14
10,16
10,16
10,16
10,16
10,16
10,16
12,14
20,6
22,4
16,10
14,12
10,16
16,10
16,10
12,14
16,10
14,12
16,10
20,6
18,8
14,12
12,14
12,14
8,18
6,20
6,20
4,22
4,22
16,10
22,4
16,10
18,8
12,14
12,14
14,12
14,12
16,10
8,18
8,18
8,18
8,18
6,20
8,18
4,22
4,22
4,22
4,22
26,0
26,0
2,24
2,24
2,24
6,20
6,20
12,14
24,2
16,10
8,18
4,22
2,24
6,20
10,16
12,14
12,14
10,16
8,18
8,18
14,12
12,14
8,18
4,22
6,20
6,20
6,20
8,18
10,16
14,12
16,10
20,6
22,4
12,14
8,18
8,18
12,14
8,18
10,16
10,16
10,16
10,16
6,20
6,20
6,20
6,20
6,20
4,22
6,20
2,24
2,24
2,24
2,24
2,24
2,24
10,16
16,10
14,12
12,14
14,12
8,18
8,18
2,24
2,24
2,24
4,22
8,18
8,18
8,18
6,20
4,22
8,18
8,18
12,14
14,12
14,12
10,16
12,14
12,14
20,6
16,10
16,10
12,14
10,16
10,16
8,18
8,18
6,20
6,20
6,20
8,18
8,18
26,0
26,0
2,24
2,24
6,20
4,22
2,24
2,24
2,24
2,24
2,24
8,18
16,10
16,10
14,12
12,14
8,18
10,16
10,16
8,18
8,18
2,24
2,24
6,20
8,18
6,20
6,20
10,16
8,18
4,22
6,20
8,18
6,20
6,20
10,16
6,20
6,20
14,12
14,12
14,12
14,12
14,12
12,14
10,16
10,16
8,18
4,22
0,26
0,26
2,24
0,26
2,24
6,20
6,20
26,0
26,0
26,0
4,22
4,22
4,22
6,20
6,20
6,20
8,18
4,22
6,20
6,20
10,16
16,10
14,12
14,12
12,14
12,14
10,16
8,18
4,22
4,22
8,18
6,20
8,18
26,0
26,0
14,12
26,0
26,0
16,10
12,14
12,14
12,14
10,16
8,18
6,20
6,20
4,22
2,24
2,24
2,24
2,24
4,22
4,22
4,22
4,22
4,22
2,24
2,24
2,24
4,22
4,22
6,20
6,20
10,16
10,16
12,14
6,20
6,20
4,22
4,22
2,24
6,20
16,10
16,10
10,16
8,18
6,20
6,20
6,20
6,20
10,16
10,16
12,14
10,16
20,6
20,6
20,6
10,16
10,16
10,16
10,16
26,0
26,0
