Demand,Supply
2,10
0,12
0,12
0,12
0,12
0,12
0,12
0,12
2,10
2,10
2,10
0,12
0,12
0,12
2,10
2,10
6,6
6,6
6,6
6,6
8,4
2,10
2,10
2,10
2,10
4,8
4,8
4,8
4,8
2,10
2,10
2,10
4,8
4,8
6,6
2,10
4,8
4,8
6,6
6,6
6,6
4,8
4,8
6,6
4,8
4,8
4,8
4,8
2,10
2,10
2,10
2,10
2,10
2,10
2,10
2,10
2,10
2,10
2,10
4,8
4,8
6,6
4,8
2,10
4,8
2,10
4,8
2,10
2,10
2,10
0,12
2,10
6,6
6,6
2,10
4,8
10,2
10,2
6,6
10,2
12,0
12,0
12,0
6,6
10,2
8,4
4,8
6,6
8,4
10,2
12,0
12,0
12,0
6,6
6,6
6,6
4,8
4,8
2,10
2,10
2,10
2,10
2,10
2,10
12,0
12,0
2,10
2,10
2,10
2,10
4,8
12,0
12,0
6,6
8,4
4,8
6,6
6,6
6,6
6,6
4,8
2,10
2,10
2,10
4,8
4,8
4,8
2,10
8,4
4,8
6,6
6,6
6,6
6,6
6,6
4,8
6,6
6,6
8,4
8,4
6,6
6,6
6,6
6,6
4,8
2,10
2,10
2,10
2,10
2,10
2,10
2,10
2,10
2,10
2,10
2,10
2,10
6,6
8,4
10,2
12,0
12,0
10,2
10,2
4,8
8,4
4,8
2,10
4,8
4,8
2,10
2,10
2,10
8,4
6,6
6,6
6,6
6,6
2,10
4,8
4,8
10,2
10,2
6,6
8,4
6,6
6,6
8,4
8,4
8,4
8,4
8,4
6,6
6,6
6,6
6,6
12,0
12,0
4,8
4,8
2,10
2,10
2,10
2,10
2,10
2,10
4,8
4,8
10,2
10,2
10,2
6,6
4,8
2,10
4,8
2,10
2,10
6,6
6,6
6,6
4,8
4,8
4,8
2,10
4,8
8,4
10,2
10,2
6,6
6,6
6,6
6,6
12,0
12,0
12,0
12,0
6,6
6,6
4,8
2,10
2,10
2,10
2,10
2,10
2,10
2,10
2,10
2,10
2,10
12,0
12,0
12,0
12,0
4,8
6,6
4,8
8,4
6,6
6,6
6,6
6,6
4,8
6,6
6,6
8,4
10,2
8,4
4,8
2,10
2,10
2,10
6,6
8,4
6,6
4,8
4,8
12,0
12,0
12,0
10,2
4,8
4,8
6,6
4,8
4,8
4,8
4,8
2,10
2,10
2,10
2,10
2,10
2,10
2,10
2,10
2,10
2,10
2,10
2,10
2,10
2,10
2,10
2,10
4,8
6,6
10,2
10,2
4,8
4,8
4,8
4,8
8,4
8,4
8,4
6,6
6,6
6,6
8,4
10,2
8,4
8,4
10,2
10,2
8,4
8,4
10,2
10,2
8,4
8,4
8,4
10,2
10,2
4,8
4,8
4,8
12,0
