Demand,Supply
44,14
44,14
46,12
44,14
44,14
42,16
46,12
44,14
44,14
42,16
42,16
42,16
42,16
44,14
46,12
46,12
51,7
51,7
49,9
49,9
46,12
44,14
46,12
47,11
51,7
49,9
47,11
46,12
49,9
51,7
51,7
47,11
47,11
49,9
51,7
51,7
51,7
47,11
49,9
47,11
51,7
49,9
51,7
47,11
49,9
51,7
49,9
51,7
58,0
58,0
51,7
47,11
47,11
46,12
46,12
46,12
46,12
46,12
4,54
30,28
46,12
46,12
46,12
47,11
51,7
51,7
47,11
47,11
53,5
51,7
33,25
49,9
49,9
49,9
49,9
51,7
46,12
47,11
47,11
46,12
44,14
47,11
51,7
49,9
51,7
51,7
51,7
47,11
49,9
49,9
49,9
49,9
49,9
47,11
47,11
47,11
46,12
47,11
46,12
44,14
44,14
0,58
44,14
44,14
58,0
58,0
30,28
44,14
44,14
46,12
47,11
49,9
47,11
46,12
47,11
42,16
45,13
42,16
46,12
44,14
44,14
44,14
44,14
42,16
49,9
46,12
47,11
47,11
46,12
49,9
51,7
49,9
23,35
51,7
49,9
51,7
51,7
46,12
42,16
58,0
58,0
26,32
47,11
49,9
49,9
49,9
49,9
49,9
44,14
46,12
46,12
46,12
46,12
46,12
46,12
46,12
46,12
46,12
51,7
51,7
51,7
51,7
49,9
51,7
47,11
46,12
51,7
45,13
45,13
51,7
47,11
49,9
51,7
47,11
42,16
49,9
51,7
51,7
47,11
47,11
51,7
51,7
51,7
51,7
49,9
47,11
51,7
51,7
51,7
28,30
49,9
51,7
49,9
49,9
49,9
49,9
58,0
58,0
47,11
47,11
47,11
47,11
47,11
47,11
18,40
47,11
47,11
49,9
49,9
51,7
35,23
44,14
49,9
49,9
47,11
46,12
46,12
47,11
49,9
47,11
47,11
33,25
33,25
47,11
47,11
49,9
39,19
49,9
51,7
51,7
51,7
51,7
51,7
49,9
47,11
47,11
49,9
49,9
49,9
51,7
49,9
49,9
47,11
21,37
46,12
46,12
44,14
46,12
46,12
58,0
58,0
58,0
58,0
49,9
49,9
44,14
46,12
49,9
49,9
47,11
51,7
43,15
43,15
47,11
47,11
51,7
49,9
51,7
49,9
31,27
49,9
47,11
51,7
49,9
51,7
53,5
58,0
58,0
51,7
51,7
51,7
51,7
47,11
49,9
51,7
51,7
49,9
14,44
51,7
51,7
49,9
47,11
25,33
23,35
47,11
47,11
47,11
47,11
47,11
47,11
47,11
49,9
51,7
49,9
49,9
47,11
47,11
51,7
51,7
51,7
51,7
49,9
51,7
51,7
51,7
51,7
51,7
46,12
51,7
58,0
58,0
49,9
49,9
47,11
47,11
53,5
51,7
49,9
49,9
49,9
51,7
51,7
51,7
51,7
47,11
58,0
