Demand,Supply
26,20
18,28
18,28
18,28
10,36
8,38
5,41
5,41
5,41
8,38
5,41
5,41
5,41
15,31
5,41
5,41
21,25
21,25
28,18
26,20
15,31
10,36
8,38
10,36
15,31
13,33
15,31
13,33
15,31
15,31
10,36
13,33
3,43
5,41
8,38
15,31
18,28
23,23
23,23
28,18
36,10
23,23
18,28
10,36
13,33
15,31
23,23
28,18
26,20
15,31
15,31
10,36
10,36
8,38
3,43
3,43
5,41
5,41
5,41
3,43
3,43
5,41
10,36
10,36
18,28
31,15
20,26
16,30
18,28
13,33
8,38
10,36
13,33
15,31
8,38
13,33
26,20
28,18
20,26
18,28
15,31
13,33
13,33
13,33
13,33
10,36
20,26
28,18
28,18
36,10
31,15
26,20
26,20
31,15
31,15
31,15
28,18
26,20
18,28
13,33
10,36
10,36
5,41
5,41
46,0
46,0
5,41
5,41
10,36
10,36
15,31
23,23
26,20
31,15
23,23
20,26
18,28
23,23
18,28
15,31
12,34
13,33
26,20
18,28
18,28
20,26
26,20
20,26
28,18
23,23
23,23
23,23
23,23
36,10
36,10
31,15
33,13
31,15
26,20
26,20
38,8
33,13
28,18
36,10
31,15
20,26
18,28
15,31
15,31
10,36
10,36
10,36
5,41
5,41
5,41
5,41
5,41
8,38
13,33
18,28
33,13
38,8
43,3
33,13
28,18
28,18
20,26
23,23
36,10
31,15
20,26
26,20
26,20
13,33
15,31
18,28
18,28
18,28
10,36
8,38
8,38
18,28
18,28
28,18
31,15
38,8
38,8
38,8
36,10
36,10
20,26
20,26
23,23
20,26
20,26
18,28
46,0
46,0
8,38
5,41
0,46
0,46
0,46
0,46
0,46
3,43
8,38
18,28
26,20
28,18
20,26
26,20
21,25
21,25
15,31
15,31
15,31
15,31
13,33
23,23
28,18
23,23
23,23
10,36
10,36
15,31
15,31
13,33
18,28
18,28
28,18
36,10
33,13
26,20
26,20
26,20
20,26
20,26
20,26
20,26
23,23
18,28
15,31
13,33
8,38
8,38
5,41
5,41
8,38
46,0
46,0
46,0
46,0
8,38
10,36
20,26
15,31
15,31
15,31
13,33
10,36
13,33
13,33
18,28
18,28
20,26
23,23
36,10
23,23
20,26
18,28
13,33
5,41
5,41
8,38
46,0
46,0
46,0
26,20
26,20
23,23
15,31
23,23
15,31
10,36
13,33
20,26
26,20
18,28
18,28
18,28
13,33
5,41
5,41
3,43
3,43
3,43
3,43
3,43
3,43
3,43
8,38
8,38
10,36
10,36
15,31
13,33
8,38
8,38
18,28
18,28
18,28
18,28
23,23
20,26
28,18
28,18
15,31
15,31
23,23
26,20
20,26
20,26
23,23
43,3
43,3
36,10
36,10
33,13
33,13
41,5
41,5
33,13
36,10
46,0
46,0
