Demand,Supply
11,19
6,24
4,26
6,24
9,21
6,24
6,24
2,28
2,28
2,28
2,28
2,28
2,28
6,24
13,17
17,13
11,19
11,19
9,21
6,24
9,21
6,24
6,24
9,21
15,15
15,15
15,15
6,24
4,26
4,26
4,26
4,26
9,21
9,21
9,21
19,11
30,0
30,0
24,6
19,11
15,15
9,21
13,17
17,13
15,15
15,15
26,4
24,6
21,9
21,9
15,15
11,19
9,21
4,26
9,21
6,24
2,28
2,28
2,28
4,26
4,26
13,17
13,17
11,19
13,17
13,17
13,17
9,21
11,19
11,19
11,19
9,21
13,17
15,15
13,17
9,21
11,19
11,19
13,17
13,17
15,15
13,17
13,17
24,6
13,17
13,17
19,11
19,11
26,4
15,15
17,13
15,15
15,15
15,15
15,15
15,15
15,15
19,11
15,15
15,15
15,15
11,19
9,21
4,26
30,0
30,0
4,26
6,24
6,24
6,24
11,19
11,19
9,21
11,19
13,17
13,17
9,21
13,17
17,13
13,17
17,13
17,13
17,13
19,11
19,11
11,19
13,17
13,17
9,21
13,17
15,15
19,11
19,11
26,4
26,4
19,11
13,17
13,17
13,17
19,11
21,9
21,9
21,9
19,11
15,15
15,15
9,21
9,21
9,21
4,26
4,26
4,26
4,26
4,26
4,26
6,24
6,24
9,21
9,21
9,21
6,24
11,19
17,13
17,13
13,17
9,21
11,19
13,17
17,13
9,21
11,19
9,21
11,19
9,21
11,19
9,21
13,17
13,17
24,6
24,6
13,17
19,11
19,11
17,13
15,15
21,9
21,9
21,9
19,11
17,13
19,11
19,11
11,19
6,24
6,24
4,26
30,0
30,0
6,24
6,24
4,26
2,28
2,28
4,26
4,26
2,28
4,26
9,21
4,26
4,26
2,28
2,28
4,26
6,24
4,26
6,24
30,0
30,0
9,21
6,24
6,24
9,21
9,21
11,19
13,17
9,21
9,21
13,17
15,15
21,9
24,6
26,4
26,4
19,11
21,9
21,9
21,9
17,13
17,13
13,17
6,24
9,21
9,21
11,19
13,17
11,19
9,21
6,24
2,28
2,28
30,0
30,0
2,28
2,28
4,26
4,26
4,26
4,26
6,24
9,21
11,19
11,19
15,15
17,13
11,19
6,24
4,26
6,24
9,21
11,19
11,19
13,17
11,19
11,19
11,19
6,24
6,24
21,9
19,11
17,13
15,15
11,19
9,21
4,26
2,28
6,24
13,17
13,17
13,17
6,24
4,26
2,28
2,28
2,28
2,28
2,28
2,28
2,28
2,28
6,24
6,24
9,21
11,19
15,15
11,19
11,19
3,27
4,26
4,26
11,19
11,19
13,17
15,15
13,17
15,15
11,19
13,17
9,21
6,24
11,19
15,15
19,11
15,15
13,17
15,15
15,15
9,21
9,21
15,15
15,15
19,11
19,11
13,17
13,17
30,0
30,0
