Demand,Supply
34,12
34,12
20,26
20,26
29,17
29,17
29,17
29,17
29,17
19,27
31,15
31,15
5,41
29,17
31,15
31,15
26,20
26,20
29,17
32,14
39,7
36,10
22,24
31,15
32,14
36,10
19,27
24,22
27,19
29,17
32,14
32,14
17,29
27,19
21,25
36,10
36,10
37,9
37,9
32,14
34,12
32,14
39,7
37,9
37,9
37,9
32,14
22,24
31,15
31,15
9,37
29,17
29,17
15,31
27,19
14,32
26,20
26,20
26,20
26,20
26,20
15,31
26,20
29,17
34,12
39,7
26,20
26,20
26,20
27,19
29,17
27,19
29,17
31,15
32,14
26,20
30,16
32,14
15,31
32,14
34,12
32,14
32,14
36,10
34,12
34,12
39,7
37,9
37,9
36,10
27,19
34,12
34,12
36,10
36,10
36,10
24,22
31,15
29,17
29,17
27,19
15,31
27,19
27,19
46,0
46,0
27,19
27,19
27,19
17,29
34,12
29,17
29,17
34,12
32,14
26,20
27,19
14,32
22,24
36,10
36,10
32,14
17,29
15,31
15,31
30,16
29,17
27,19
34,12
34,12
36,10
14,32
14,32
29,17
12,34
32,14
43,3
32,14
32,14
20,26
32,14
32,14
24,22
37,9
19,27
19,27
29,17
27,19
27,19
27,19
27,19
27,19
26,20
26,20
26,20
10,36
27,19
12,34
36,10
27,19
36,10
29,17
27,19
26,20
16,30
19,27
17,29
36,10
36,10
19,27
30,16
31,15
19,27
37,9
37,9
39,7
31,15
31,15
31,15
37,9
36,10
37,9
37,9
26,20
24,22
31,15
31,15
0,46
7,39
7,39
15,31
29,17
5,41
27,19
29,17
27,19
46,0
46,0
-2,48
-2,48
26,20
26,20
26,20
26,20
26,20
26,20
26,20
6,40
31,15
32,14
34,12
34,12
34,12
34,12
17,29
32,14
46,0
46,0
31,15
15,31
37,9
22,24
22,24
9,37
31,15
37,9
34,12
17,29
6,40
19,27
32,14
31,15
31,15
34,12
31,15
31,15
31,15
31,15
26,20
32,14
26,20
29,17
29,17
31,15
17,29
31,15
3,43
29,17
14,32
46,0
46,0
46,0
0,46
37,9
29,17
31,15
32,14
29,17
29,17
34,12
24,22
27,19
24,22
30,16
27,19
26,20
31,15
29,17
18,28
5,41
31,15
31,15
22,24
27,19
26,20
34,12
34,12
20,26
36,10
14,32
19,27
24,22
31,15
20,26
29,17
17,29
31,15
29,17
9,37
27,19
26,20
26,20
26,20
26,20
26,20
26,20
12,34
26,20
26,20
10,36
10,36
14,32
27,19
29,17
3,43
-15,61
7,39
18,28
10,36
27,19
27,19
31,15
32,14
36,10
19,27
26,20
12,34
36,10
36,10
31,15
32,14
32,14
32,14
31,15
31,15
36,10
37,9
36,10
31,15
31,15
31,15
22,24
22,24
17,29
46,0
46,0
