站點名稱,地址,縣市代碼,lat,long,maxBat,minBat,earliest,latest
新竹士林市場站,新竹市北區士林里東大路二段477號(近東大路二段與境福街口),O,24.8207907,120.9601381,22,0,2024/5/19 22:12:16,2024/5/27 13:46:11
HiLife 新竹竹諺店站,新竹市北區中華路三段88號(近中華路三段/林森路口),O,24.796791,120.96183,20,0,2024/5/19 22:19:36,2024/5/27 13:48:40
Gogoro 新竹北大店站,新竹市北區北大路321號(近中正棒球場),O,24.805838,120.9621526,28,0,2024/5/19 22:24:00,2024/5/27 13:48:03
宏佳騰新竹北大店站,新竹市北區北大路350號(近北大路與少年街口),O,24.8057321,120.9613837,28,0,2024/5/19 22:27:31,2024/5/27 13:54:22
竹光國民運動中心站,新竹市北區竹光路325號(近竹光路與經國路二段438巷路口),O,24.8072799,120.9531154,46,0,2024/5/19 22:19:23,2024/5/27 14:11:54
全家新竹遠百店站,新竹市北區西門街101號1樓(近西門街與勝利路口),O,24.8016235,120.9639984,24,0,2024/5/19 22:24:57,2024/5/27 14:13:43
7-ELEVEN 冠盈店站,新竹市北區西濱路一段286號(近西濱路一段與延濱路口),O,24.8355264,120.9293412,10,0,2024/5/19 22:29:03,2024/5/27 14:05:24
7-ELEVEN 聖華店站,新竹市北區西濱路一段399號(近西濱路一段與興濱路口),O,24.845682,120.947654,32,0,2024/5/19 22:32:29,2024/5/27 14:18:01
全家新竹金鵬店站,新竹市北區延平路一段388號1樓(近延平路一段與成功路口),O,24.8051745,120.9492168,18,0,2024/5/19 22:32:43,2024/5/27 14:12:49
中油南寮加油站,新竹市北區東大路四段292號(近新竹17公里海岸風景區),O,24.8462393,120.9258941,16,0,2024/5/19 22:37:02,2024/5/27 14:14:34
新竹南寮市場站,新竹市北區東大路四段32號(近東大路四段與延平路三段路口),O,24.8414741,120.9362432,30,0,2024/5/19 22:38:42,2024/5/27 14:14:35
全聯新竹武陵店站,新竹市北區武陵路157-1號(近武陵路/湳中街口),O,24.8205933,120.9677462,14,0,2024/5/19 22:44:13,2024/5/27 14:22:28
全家新竹武東店站,新竹市北區武陵路71號1樓,O,24.8182899,120.965785,16,0,2024/5/19 22:39:07,2024/5/27 14:06:12
大潤發新竹湳雅店站,新竹市北區湳雅街95號(近湳雅街/光華街口),O,25.01057,121.42806,58,0,2024/5/19 22:43:40,2024/5/27 14:08:57
