Demand,Supply
10,36
10,36
8,38
8,38
6,40
4,42
4,42
4,42
4,42
4,42
6,40
8,38
6,40
14,32
18,28
28,18
28,18
28,18
22,24
22,24
20,26
14,32
22,24
22,24
22,24
8,38
18,28
26,20
26,20
10,36
10,36
10,36
10,36
12,34
14,32
20,26
28,18
32,14
42,4
44,2
36,10
38,8
42,4
40,6
40,6
40,6
32,14
20,26
46,0
46,0
10,36
10,36
10,36
8,38
8,38
10,36
8,38
8,38
10,36
8,38
6,40
6,40
18,28
26,20
34,12
26,20
22,24
22,24
18,28
18,28
16,30
14,32
16,30
16,30
10,36
14,32
8,38
10,36
10,36
22,24
38,8
24,22
30,16
36,10
38,8
44,2
44,2
42,4
36,10
30,16
30,16
28,18
28,18
20,26
18,28
18,28
8,38
6,40
4,42
2,44
2,44
2,44
2,44
0,46
46,0
46,0
2,44
4,42
6,40
4,42
10,36
28,18
30,16
30,16
32,14
22,24
20,26
12,34
6,40
14,32
14,32
18,28
18,28
12,34
12,34
6,40
8,38
8,38
4,42
6,40
6,40
24,22
36,10
36,10
36,10
44,2
44,2
30,16
36,10
36,10
24,22
22,24
22,24
18,28
12,34
12,34
12,34
12,34
12,34
8,38
6,40
6,40
4,42
4,42
6,40
8,38
4,42
6,40
12,34
18,28
22,24
16,30
6,40
6,40
12,34
16,30
18,28
20,26
18,28
16,30
16,30
14,32
14,32
16,30
18,28
14,32
14,32
22,24
24,22
34,12
32,14
34,12
34,12
38,8
32,14
36,10
36,10
32,14
32,14
32,14
28,18
20,26
12,34
8,38
4,42
6,40
46,0
46,0
8,38
8,38
6,40
6,40
8,38
8,38
6,40
8,38
14,32
22,24
36,10
36,10
18,28
18,28
12,34
18,28
20,26
18,28
18,28
14,32
10,36
16,30
24,22
18,28
18,28
18,28
14,32
16,30
24,22
26,20
18,28
18,28
28,18
24,22
24,22
22,24
24,22
24,22
26,20
26,20
16,30
12,34
14,32
10,36
8,38
4,42
4,42
6,40
6,40
8,38
6,40
46,0
46,0
46,0
46,0
6,40
6,40
8,38
6,40
6,40
12,34
14,32
20,26
16,30
16,30
8,38
12,34
10,36
14,32
12,34
18,28
16,30
16,30
8,38
12,34
20,26
14,32
26,20
46,0
46,0
26,20
26,20
30,16
32,14
26,20
26,20
20,26
22,24
16,30
16,30
16,30
8,38
6,40
6,40
4,42
4,42
4,42
4,42
4,42
46,0
46,0
4,42
4,42
4,42
4,42
6,40
6,40
10,36
10,36
12,34
16,30
16,30
16,30
16,30
12,34
22,24
20,26
46,0
46,0
16,30
14,32
18,28
18,28
16,30
16,30
14,32
14,32
32,14
24,22
24,22
28,18
28,18
30,16
32,14
34,12
34,12
46,0
46,0
