Demand,Supply
30,16
28,18
28,18
12,34
10,36
10,36
26,20
26,20
10,36
26,20
26,20
10,36
26,20
16,30
18,28
42,4
44,2
44,2
38,8
34,12
32,14
34,12
30,16
32,14
14,32
10,36
14,32
26,20
20,26
28,18
18,28
16,30
34,12
20,26
30,16
28,18
14,32
26,20
28,18
30,16
32,14
38,8
40,6
32,14
34,12
34,12
32,14
20,26
16,30
16,30
16,30
16,30
14,32
26,20
26,20
28,18
12,34
8,38
8,38
8,38
8,38
28,18
28,18
32,14
40,6
32,14
32,14
38,8
16,30
28,18
12,34
28,18
28,18
30,16
6,40
24,22
32,14
32,14
34,12
22,24
22,24
20,26
20,26
32,14
30,16
26,20
30,16
38,8
40,6
36,10
34,12
32,14
22,24
32,14
36,10
30,16
34,12
24,22
22,24
16,30
28,18
28,18
28,18
28,18
16,30
16,30
16,30
14,32
28,18
28,18
18,28
18,28
36,10
44,2
44,2
38,8
34,12
32,14
24,22
32,14
22,24
32,14
20,26
26,20
26,20
30,16
30,16
12,34
16,30
26,20
10,36
18,28
14,32
18,28
18,28
38,8
28,18
18,28
24,22
24,22
28,18
12,34
14,32
28,18
12,34
12,34
10,36
22,24
22,24
22,24
-18,64
2,44
2,44
2,44
2,44
4,42
22,24
6,40
12,34
14,32
26,20
36,10
22,24
26,20
40,6
38,8
20,26
28,18
34,12
36,10
22,24
6,40
30,16
14,32
28,18
30,16
8,38
8,38
8,38
26,20
20,26
24,22
26,20
18,28
16,30
12,34
30,16
18,28
32,14
22,24
20,26
28,18
16,30
10,36
28,18
4,42
-16,62
2,44
2,44
2,44
2,44
20,26
20,26
20,26
20,26
20,26
20,26
22,24
18,28
26,20
16,30
16,30
30,16
30,16
16,30
6,40
12,34
12,34
24,22
18,28
16,30
22,24
28,18
22,24
6,40
8,38
26,20
26,20
30,16
24,22
16,30
28,18
12,34
30,16
18,28
18,28
20,26
30,16
28,18
28,18
14,32
8,38
24,22
2,44
4,42
22,24
22,24
4,42
22,24
22,24
2,44
2,44
20,26
22,24
-14,60
-14,60
12,34
30,16
30,16
28,18
26,20
26,20
24,22
24,22
26,20
24,22
12,34
26,20
26,20
22,24
26,20
26,20
22,24
26,20
26,20
8,38
16,30
16,30
-4,50
6,40
26,20
26,20
16,30
28,18
14,32
24,22
22,24
22,24
16,30
20,26
2,44
0,46
0,46
20,26
20,26
20,26
20,26
20,26
0,46
20,26
20,26
0,46
20,26
22,24
6,40
22,24
22,24
22,24
8,38
24,22
24,22
10,36
28,18
10,36
8,38
30,16
24,22
24,22
22,24
22,24
24,22
26,20
24,22
24,22
20,26
28,18
26,20
36,10
-8,54
6,40
24,22
14,32
24,22
22,24
22,24
24,22
