Demand,Supply
14,6
12,8
10,10
8,12
6,14
6,14
8,12
6,14
6,14
6,14
6,14
6,14
6,14
4,16
8,12
14,6
18,2
18,2
18,2
10,10
8,12
8,12
16,4
16,4
16,4
12,8
12,8
12,8
12,8
10,10
8,12
8,12
8,12
6,14
8,12
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
16,4
12,8
12,8
12,8
14,6
20,0
20,0
12,8
14,6
14,6
12,8
10,10
10,10
6,14
8,12
8,12
10,10
8,12
8,12
8,12
12,8
10,10
14,6
10,10
10,10
12,8
12,8
10,10
10,10
12,8
12,8
10,10
10,10
8,12
10,10
12,8
14,6
14,6
12,8
12,8
14,6
14,6
18,2
14,6
16,4
16,4
20,0
20,0
18,2
18,2
14,6
12,8
12,8
6,14
4,16
4,16
4,16
6,14
4,16
4,16
2,18
20,0
20,0
2,18
2,18
2,18
2,18
4,16
4,16
6,14
10,10
8,12
6,14
4,16
12,8
8,12
8,12
10,10
12,8
18,2
14,6
16,4
12,8
12,8
8,12
14,6
14,6
12,8
10,10
16,4
18,2
20,0
20,0
20,0
18,2
18,2
20,0
20,0
18,2
14,6
18,2
16,4
16,4
4,16
4,16
4,16
2,18
2,18
2,18
2,18
2,18
2,18
4,16
6,14
8,12
10,10
8,12
8,12
12,8
10,10
12,8
18,2
18,2
14,6
10,10
8,12
8,12
10,10
10,10
12,8
12,8
12,8
10,10
10,10
10,10
14,6
14,6
16,4
20,0
20,0
12,8
12,8
18,2
18,2
14,6
12,8
12,8
16,4
14,6
12,8
6,14
6,14
6,14
20,0
20,0
6,14
6,14
2,18
0,20
2,18
2,18
2,18
2,18
4,16
6,14
8,12
8,12
18,2
20,0
20,0
20,0
18,2
14,6
14,6
14,6
16,4
16,4
16,4
16,4
16,4
16,4
16,4
16,4
16,4
18,2
20,0
20,0
16,4
14,6
14,6
18,2
18,2
18,2
18,2
18,2
14,6
14,6
12,8
14,6
12,8
6,14
4,16
2,18
2,18
2,18
2,18
2,18
20,0
20,0
20,0
2,18
2,18
6,14
8,12
20,0
20,0
10,10
14,6
12,8
12,8
12,8
8,12
14,6
12,8
10,10
4,16
4,16
8,12
8,12
6,14
8,12
10,10
10,10
20,0
20,0
6,14
6,14
12,8
10,10
8,12
12,8
16,4
18,2
16,4
10,10
10,10
10,10
8,12
8,12
8,12
10,10
4,16
4,16
4,16
2,18
2,18
4,16
4,16
10,10
8,12
8,12
8,12
6,14
6,14
6,14
4,16
8,12
8,12
10,10
14,6
14,6
10,10
20,0
20,0
10,10
18,2
18,2
18,2
10,10
10,10
10,10
10,10
10,10
10,10
8,12
10,10
10,10
14,6
16,4
12,8
10,10
20,0
20,0
