Demand,Supply
10,16
10,16
10,16
10,16
10,16
8,18
8,18
8,18
8,18
8,18
8,18
8,18
8,18
8,18
8,18
8,18
10,16
10,16
12,14
12,14
12,14
10,16
10,16
10,16
14,12
12,14
12,14
12,14
12,14
12,14
14,12
14,12
16,10
12,14
12,14
10,16
20,6
20,6
14,12
12,14
12,14
22,4
20,6
20,6
18,8
18,8
18,8
10,16
26,0
26,0
8,18
8,18
8,18
8,18
8,18
8,18
8,18
8,18
8,18
8,18
8,18
8,18
8,18
10,16
16,10
22,4
22,4
18,8
18,8
20,6
16,10
16,10
16,10
14,12
14,12
14,12
12,14
12,14
10,16
10,16
12,14
12,14
12,14
10,16
10,16
14,12
18,8
24,2
22,4
24,2
26,0
26,0
26,0
22,4
18,8
18,8
12,14
10,16
10,16
10,16
10,16
10,16
10,16
10,16
26,0
26,0
10,16
10,16
10,16
10,16
10,16
10,16
12,14
14,12
16,10
18,8
18,8
16,10
16,10
16,10
12,14
12,14
12,14
16,10
14,12
12,14
12,14
12,14
14,12
16,10
14,12
14,12
16,10
18,8
18,8
18,8
18,8
18,8
18,8
18,8
14,12
14,12
12,14
12,14
10,16
10,16
10,16
10,16
10,16
10,16
10,16
10,16
10,16
10,16
10,16
10,16
10,16
10,16
12,14
14,12
16,10
16,10
16,10
16,10
14,12
14,12
14,12
12,14
12,14
12,14
14,12
14,12
14,12
10,16
10,16
10,16
12,14
12,14
10,16
12,14
12,14
12,14
12,14
22,4
20,6
20,6
22,4
20,6
14,12
14,12
14,12
12,14
12,14
12,14
14,12
12,14
26,0
26,0
10,16
10,16
10,16
10,16
10,16
10,16
10,16
10,16
12,14
12,14
16,10
16,10
18,8
18,8
16,10
18,8
16,10
12,14
12,14
12,14
12,14
12,14
10,16
10,16
10,16
10,16
10,16
10,16
10,16
8,18
14,12
16,10
14,12
16,10
16,10
18,8
14,12
14,12
18,8
18,8
14,12
14,12
10,16
10,16
8,18
8,18
8,18
8,18
8,18
8,18
8,18
26,0
26,0
26,0
26,0
8,18
8,18
8,18
8,18
8,18
8,18
10,16
10,16
16,10
16,10
16,10
14,12
14,12
16,10
16,10
18,8
14,12
14,12
14,12
14,12
16,10
16,10
26,0
26,0
26,0
12,14
14,12
16,10
12,14
12,14
10,16
10,16
10,16
10,16
10,16
10,16
10,16
10,16
10,16
10,16
10,16
10,16
10,16
10,16
10,16
10,16
10,16
10,16
10,16
10,16
10,16
12,14
12,14
12,14
12,14
12,14
16,10
12,14
16,10
12,14
14,12
12,14
14,12
14,12
10,16
10,16
10,16
10,16
12,14
16,10
16,10
16,10
14,12
12,14
12,14
12,14
12,14
16,10
16,10
18,8
18,8
16,10
26,0
