Demand,Supply
26,6
26,6
26,6
26,6
16,16
14,18
10,22
6,26
6,26
6,26
8,24
8,24
12,20
12,20
14,18
26,6
28,4
28,4
30,2
22,10
10,22
12,20
14,18
22,10
28,4
30,2
32,0
32,0
26,6
22,10
22,10
22,10
24,8
18,14
18,14
24,8
28,4
32,0
32,0
30,2
30,2
32,0
32,0
32,0
32,0
32,0
26,6
22,10
32,0
32,0
26,6
26,6
26,6
20,12
10,22
10,22
10,22
10,22
10,22
8,24
8,24
14,18
16,16
20,12
28,4
28,4
18,14
24,8
20,12
20,12
20,12
30,2
22,10
26,6
28,4
28,4
16,16
20,12
28,4
28,4
18,14
12,20
18,14
26,6
26,6
26,6
30,2
30,2
26,6
26,6
26,6
22,10
22,10
16,16
20,12
20,12
18,14
22,10
16,16
14,18
10,22
4,28
4,28
2,30
32,0
32,0
4,28
4,28
4,28
4,28
10,22
18,14
24,8
26,6
22,10
14,18
14,18
18,14
22,10
20,12
18,14
18,14
18,14
12,20
12,20
12,20
14,18
16,16
20,12
22,10
20,12
22,10
26,6
28,4
28,4
28,4
22,10
24,8
26,6
32,0
32,0
12,20
22,10
28,4
28,4
28,4
24,8
26,6
16,16
14,18
8,24
8,24
8,24
6,26
6,26
8,24
6,26
8,24
18,14
22,10
32,0
32,0
30,2
30,2
18,14
14,18
22,10
20,12
20,12
28,4
20,12
28,4
22,10
10,22
14,18
16,16
22,10
22,10
8,24
30,2
32,0
32,0
32,0
30,2
32,0
32,0
32,0
32,0
32,0
32,0
28,4
24,8
26,6
24,8
24,8
16,16
32,0
32,0
8,24
8,24
0,32
2,30
4,28
4,28
2,30
4,28
4,28
10,22
12,20
12,20
12,20
12,20
14,18
18,14
18,14
26,6
32,0
32,0
16,16
22,10
20,12
20,12
16,16
12,20
14,18
16,16
20,12
26,6
24,8
24,8
30,2
32,0
32,0
30,2
28,4
28,4
30,2
30,2
24,8
26,6
26,6
30,2
28,4
22,10
22,10
18,14
20,12
16,16
10,22
32,0
32,0
32,0
32,0
14,18
14,18
12,20
8,24
8,24
10,22
26,6
20,12
12,20
12,20
14,18
16,16
22,10
16,16
22,10
28,4
28,4
30,2
24,8
16,16
20,12
24,8
28,4
32,0
32,0
20,12
26,6
26,6
26,6
22,10
30,2
26,6
22,10
22,10
16,16
16,16
14,18
12,20
14,18
10,22
10,22
8,24
8,24
10,22
10,22
10,22
12,20
12,20
16,16
16,16
14,18
14,18
10,22
12,20
10,22
18,14
24,8
24,8
24,8
28,4
24,8
26,6
24,8
24,8
24,8
22,10
22,10
30,2
32,0
32,0
28,4
28,4
28,4
26,6
26,6
28,4
32,0
32,0
32,0
26,6
26,6
14,18
32,0
