Demand,Supply
12,20
6,26
6,26
4,28
6,26
4,28
2,30
0,32
0,32
2,30
2,30
2,30
2,30
2,30
10,22
12,20
12,20
12,20
10,22
2,30
6,26
6,26
12,20
12,20
12,20
8,24
6,26
8,24
4,28
4,28
6,26
8,24
8,24
12,20
10,22
16,16
20,12
28,4
20,12
28,4
28,4
20,12
16,16
16,16
14,18
14,18
6,26
2,30
32,0
32,0
2,30
2,30
2,30
2,30
2,30
2,30
0,32
0,32
0,32
0,32
0,32
0,32
4,28
12,20
14,18
10,22
6,26
6,26
6,26
2,30
4,28
2,30
2,30
4,28
4,28
4,28
2,30
4,28
4,28
2,30
2,30
4,28
8,24
14,18
16,16
22,10
16,16
24,8
24,8
20,12
20,12
14,18
14,18
18,14
14,18
14,18
14,18
8,24
6,26
6,26
4,28
0,32
0,32
0,32
32,0
32,0
0,32
0,32
0,32
2,30
0,32
2,30
8,24
14,18
10,22
12,20
14,18
12,20
8,24
2,30
4,28
6,26
6,26
8,24
6,26
4,28
6,26
8,24
6,26
6,26
18,14
30,2
24,8
22,10
22,10
18,14
16,16
16,16
14,18
32,0
32,0
14,18
8,24
8,24
8,24
8,24
6,26
6,26
2,30
0,32
0,32
0,32
0,32
0,32
0,32
0,32
0,32
2,30
4,28
12,20
18,14
8,24
10,22
12,20
14,18
18,14
14,18
10,22
14,18
10,22
8,24
12,20
8,24
10,22
12,20
10,22
10,22
10,22
10,22
10,22
22,10
26,6
26,6
28,4
18,14
16,16
20,12
22,10
16,16
12,20
12,20
8,24
8,24
6,26
6,26
6,26
32,0
32,0
2,30
2,30
2,30
2,30
2,30
2,30
2,30
6,26
10,22
10,22
10,22
18,14
14,18
14,18
14,18
14,18
12,20
14,18
14,18
10,22
8,24
14,18
6,26
4,28
4,28
10,22
8,24
14,18
14,18
16,16
32,0
32,0
20,12
28,4
28,4
20,12
20,12
20,12
20,12
20,12
8,24
8,24
8,24
10,22
8,24
8,24
4,28
4,28
6,26
8,24
10,22
32,0
32,0
32,0
32,0
6,26
6,26
4,28
6,26
6,26
6,26
8,24
8,24
6,26
6,26
10,22
12,20
14,18
16,16
12,20
6,26
6,26
8,24
10,22
10,22
10,22
10,22
14,18
32,0
32,0
22,10
22,10
14,18
12,20
14,18
16,16
16,16
14,18
14,18
12,20
8,24
6,26
6,26
6,26
6,26
4,28
4,28
6,26
4,28
4,28
4,28
6,26
6,26
4,28
6,26
6,26
10,22
8,24
8,24
6,26
8,24
8,24
8,24
6,26
6,26
10,22
12,20
10,22
10,22
12,20
12,20
10,22
10,22
14,18
14,18
14,18
10,22
10,22
10,22
12,20
14,18
14,18
12,20
16,16
12,20
12,20
8,24
32,0
