Demand,Supply
0,16
2,14
2,14
4,12
4,12
4,12
2,14
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
8,8
8,8
14,2
10,6
10,6
8,8
6,10
4,12
10,6
12,4
12,4
8,8
10,6
10,6
10,6
8,8
2,14
2,14
10,6
6,10
6,10
10,6
10,6
16,0
16,0
16,0
14,2
10,6
12,4
12,4
10,6
10,6
12,4
12,4
8,8
4,12
4,12
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
2,14
6,10
10,6
4,12
4,12
2,14
2,14
2,14
0,16
2,14
6,10
6,10
8,8
6,10
4,12
0,16
2,14
4,12
2,14
2,14
14,2
16,0
16,0
16,0
14,2
14,2
6,10
10,6
10,6
10,6
8,8
4,12
4,12
2,14
2,14
0,16
2,14
2,14
0,16
0,16
0,16
16,0
16,0
0,16
0,16
0,16
2,14
2,14
2,14
0,16
4,12
8,8
6,10
6,10
4,12
2,14
4,12
4,12
4,12
4,12
12,4
12,4
4,12
0,16
0,16
2,14
4,12
4,12
8,8
14,2
14,2
14,2
8,8
8,8
10,6
8,8
6,10
10,6
10,6
10,6
10,6
8,8
8,8
6,10
4,12
2,14
2,14
2,14
2,14
2,14
2,14
2,14
2,14
4,12
4,12
6,10
6,10
8,8
8,8
8,8
8,8
12,4
6,10
4,12
6,10
6,10
10,6
8,8
8,8
6,10
4,12
4,12
4,12
6,10
6,10
10,6
12,4
10,6
12,4
12,4
14,2
14,2
10,6
14,2
14,2
10,6
8,8
8,8
8,8
4,12
2,14
6,10
16,0
16,0
4,12
2,14
2,14
2,14
4,12
4,12
4,12
4,12
8,8
10,6
12,4
10,6
10,6
10,6
10,6
6,10
10,6
12,4
10,6
16,0
16,0
8,8
10,6
10,6
10,6
10,6
8,8
12,4
10,6
8,8
16,0
16,0
16,0
16,0
16,0
16,0
12,4
10,6
10,6
8,8
8,8
8,8
8,8
6,10
6,10
8,8
8,8
6,10
4,12
4,12
4,12
6,10
16,0
16,0
16,0
16,0
4,12
4,12
4,12
6,10
4,12
4,12
6,10
10,6
12,4
10,6
10,6
10,6
10,6
10,6
10,6
10,6
10,6
6,10
6,10
8,8
8,8
8,8
12,4
16,0
16,0
14,2
12,4
8,8
10,6
8,8
8,8
8,8
6,10
10,6
10,6
10,6
6,10
6,10
8,8
8,8
8,8
8,8
8,8
6,10
6,10
6,10
6,10
6,10
6,10
6,10
6,10
6,10
6,10
12,4
12,4
12,4
10,6
10,6
6,10
6,10
6,10
8,8
6,10
6,10
14,2
14,2
10,6
10,6
14,2
16,0
16,0
16,0
10,6
8,8
8,8
10,6
10,6
10,6
8,8
10,6
10,6
16,0
16,0
